,locator_address,coord
59,"2716 pacific ave, olympia, washington 98501 Olympia WA 98501","(47.04377964204387, -122.86287163290697)"
60,"1405 ne mcwilliams rd suite 103, bremerton, wa 98311 Bremerton WA 98311","(47.62127304419522, -122.63106254488703)"
61,"2225 e. sprague suite 1, spokane, wa 99202 Spokane WA 99202","(47.2762068, -117.9558081)"
62,"7824 river road e. suite e, puyallup, washington 98371 Puyallup WA 98371","(47.20763115151515, -122.32534372727272)"
63,"delivery only, spokane, wa 99205 Spokane WA 99205","(47.69213698062443, -117.42830359275209)"
64,"316 north 36th st, seattle, wa 98103 Seattle WA 98103","(47.6524507, -122.3547339)"
65,"delivery only, des moines, wa 98198 Des moines WA 98198","(47.39281135690939, -122.31328426395451)"
66,"clark county, vancouver, wa 98665 Vancouver WA 98665","(45.6507517, -122.6518936)"
67,", vancouver, wa 98665 Vancouver WA 98665","(45.6306954, -122.6744557)"
68,"12001 aurora ave n, seattle, wa 98133 Seattle WA 98133","(47.7160624, -122.34535570049114)"
69,"17869 state route 536, mount vernon, wa 98273 Mount vernon WA 98273","(48.42588627921385, -122.3581867334976)"
70,"21911 64th ave w suite d, mountlake terrace, wa 98043 Mountlake terrace WA 98043","(47.80050790775507, -122.31905933842567)"
71,"deliveries only, issaquah, wa 98027 Issaquah WA 98027","(47.47320587990667, -122.02230345087258)"
72,"delivery only, issaquah, wa 98027 Issaquah WA 98027","(47.47320587990667, -122.02230345087258)"
73,"9506 canyon rd., puyallup, wa 98371 Puyallup WA 98371","(47.169075, -122.282067)"
74,"5384 rd. k nw, quincy, wa 98848 Quincy WA 98848","(47.16675744074764, -119.80901512162599)"
75,"2200 pacific street, bellingham, wa 98229 Bellingham WA 98229","(48.758985, -122.456091)"
76,"none, delivery only, wa 98031 Delivery only WA 98031","(47.40528573682642, -122.1924794204148)"
77,"3014 6th ave., tacoma, wa 98406 Tacoma WA 98406","(47.25518314285714, -122.47514142857142)"
78,"delivery only, vancouver, wa 98660 Vancouver WA 98660","(45.632738041070986, -122.6779446635986)"
79,"delivery only, vancouver, wa 98686 Vancouver WA 98686","(45.712717960223166, -122.6265168824602)"
80,"11463 rainier ave south, seattle, wa 98178 Seattle WA 98178","(47.4994948, -122.2212081)"
81,"989 112th ave ne, bellevue, kirkland, juanita, bothell, woodinville, redmond, sammamish, duvall, issaquah, renton, seattle, kent, wa 98004 Bellevue, kirkland, juanita, bothell, woodinville, redmond, sammamish, duvall, issaquah, renton, seattle, kent WA 98004","(47.62566512710645, -122.20357270879583)"
82,"deliveries only, seattle, wa 98108 Seattle WA 98108","(47.54743730727445, -122.3106638562128)"
83,"6504 green mountain road, woodland, wa 98674 Woodland WA 98674","(45.94013963845451, -122.74725649359426)"
84,"333a e. first st., port angeles, wa 98362 Port angeles WA 98362","(48.109934345053915, -123.40910237349117)"
85,"meridian ave. south & 224th st. east, graham, wa 98338 Graham WA 98338","(47.05654794139772, -122.29125304659459)"
86,"delivery only, vancouver, washington 98660 Vancouver WA 98660","(45.632738041070986, -122.6779446635986)"
87,"delivery only, vancouver, washington 98661 Vancouver WA 98661","(45.63754405764946, -122.63391088033092)"
88,"delivery only, vancouver, washington 98684 Vancouver WA 98684","(45.624026524148015, -122.54050222219021)"
89,"delivery only, vancouver, washington 98686 Vancouver WA 98686","(45.712717960223166, -122.6265168824602)"
90,"15941 meridian east, puyallup, wa 98375 Puyallup WA 98375","(47.1578319, -122.2929973)"
91,"160 nw gilman blvd, suite i, issaquah, wa 98027 Issaquah WA 98027","(47.5390485, -122.0384057244898)"
92,"11064 lake city way ne #6, north seattle, wa 98125 North seattle WA 98125","(47.71614337097611, -122.30203767820251)"
93,"4500 9th ave ne, seattle, wa 98105 Seattle WA 98105","(47.661746, -122.3181125)"
94,"11736 aurora ave n, north seattle, wa 98133 North seattle WA 98133","(47.715168399999996, -122.34403457457081)"
95,"14510 state route 2, snohomish, wa 98290 Snohomish WA 98290","(47.9352574118686, -122.06468910914757)"
96,"3014 gs center rd., wenatchee, wa 98801 Wenatchee WA 98801","(47.434009278347006, -120.34112276478336)"
97,"9626 32nd st. se, lake stevens, wa 98258 Lake stevens WA 98258","(47.96721786382875, -122.10182116380446)"
98,"430 carpenter road se suite a., lacey, wa 98503 Lacey WA 98503","(47.048462711162806, -122.79648225843823)"
99,"2118 james street, bellingham, wa 98225 Bellingham WA 98225","(48.75808134693878, -122.4647964489796)"
100,"delivery, yakima, wa 98903 Yakima WA 98903","(46.56616569520277, -120.51800617303188)"
101,"3130 n. division st., spokane, washington 99207 Spokane WA 99207","(47.68742903448276, -117.4109556091954)"
102,"12928 e indiana ave suite 1, spokane valley, washington 99216 Spokane valley WA 99216","(47.675691608721074, -117.23176081948033)"
103,"3812 n monroe st, spokane, wa 99205 Spokane WA 99205","(47.69275863086422, -117.4257835273827)"
104,"3062 sw hwy 16 suite a, port orchard, wa 98367 Port orchard WA 98367","(-33.9632147, 119.9231422)"
