,locator_address,coord
80,971 14th ave ste 110 Longview WA 98632,"(46.13167916381003, -122.93805910917943)"
81,1906 broadway Vancouver WA 98663,"(45.635821545275334, -122.6705119510524)"
82,391 nw state ave ste 1 Chehalis WA 98532,"(46.664699999999996, -122.97306054545454)"
83,3207 1st ave s unit a Seattle WA 98134,"(47.575174, -122.33471)"
84,11013 lake city way ne Seattle WA 98125,"(47.7091459, -122.3015297)"
85,1515 lewis st Spokane WA 99224,"(46.718071, -122.972826)"
86,4007 main st Union gap WA 98903,"(46.54753865222893, -120.4753005941968)"
87,5736 vale rd Cashmere WA 98815,"(47.51906308794016, -120.45546035441596)"
88,1840 james st Bellingham WA 98225,"(48.753767186781786, -122.46483584553762)"
89,19302 bothell everett hwy Bothell WA 98012,"(47.8027185, -122.2094054)"
90,1465 e republican st Seattle WA 98112,"(47.6229949, -122.3129749)"
91,23251 hwy 20 Okanogan WA 98840,"(48.3498092, -119.6077168)"
92,2118 james st Bellingham WA 98225,"(48.75808134693878, -122.4647964489796)"
93,5565 vanbarr place unit f Freeland WA 98249,"(48.0087011, -122.5271393)"
94,6061 portal way Ferndale WA 98248,"(48.86157186600475, -122.58485177657725)"
95,6515 e mill plain blvd Vancouver WA 98661,"(45.627431892662706, -122.60529786081534)"
96,13601 highway 99 ste b Everett WA 98204,"(47.9040974, -122.244204)"
97,10525 e trent ave ste 1 Spokane WA 99206,"(47.685052330331466, -117.26344005208938)"
98,1912 state route 20 Sedro woolley WA 98284,"(48.49570265, -122.2731648660592)"
99,4101 main street Union gap WA 98903,"(46.546541, -120.475545)"
100,409 rainier ave n Renton WA 98057,"(47.4888849, -122.2184573)"
101,668 ocean shores blvd nw Ocean shores WA 98569,"(47.00612860917011, -124.16598010732207)"
102,7466 mt baker hwy Maple falls WA 98266,"(48.92440045, -122.07907029844621)"
103,849 trosper rd sw ste 207 Tumwater WA 98512,"(46.9998913557047, -122.9183000067114)"
104,11537 rainier ave s Seattle WA 98178,"(47.5088669, -122.2358082)"
