,original,replaced by
239,1330 SE Bishop Blvd,1330 SE BISHOP BLVD
161,1335 SE Bishop Blvd 1335 SE,1335 SE BISHOP BLVD
157,13513 NE 126th Pl.,13513 NE 126TH PL SUITE C
23,13601 Highway 99 Suite B,13601 HIGHWAY 99 STE B
5,1374 SE LUND AVE,1374 SE LUND AVE
325,1374 SE Lund Ave,1374 SE LUND AVE
294,1401 Iowa Street,1401 IOWA ST
170,1403 E. First St,1403 E 1ST ST
232,1410 40th St.,1410 40TH ST
15,1421 North Mullan Road,1421 N MULLAN RD STE B
193,1428 Olympic Highway South,1428 OLYMPIC HWY S STE A
254,14325 1st Ave South,14325 1ST AVE S   STE B
59,14421 E Trent Ave,14421 E TRENT AVE
110,1448 Basin St. NW Suite A,1448 BASIN ST NW SUITE A
87,14608 WA-99 #304,14608 HWY 99 SUITE #304
177,14637 State Route 20,14637 STATE ROUTE 20
238,1465 East Republican Street,1465 E REPUBLICAN ST
17,15029 Aurora Ave N.,15029 BOTHELL WAY NE STE 100
330,15029 Bothell Way NE,15029 BOTHELL WAY NE STE 100
255,1510 N. Wenatchee Ave,1510 N WENATCHEE AVE
65,1514 W University Way,1514 W UNIVERSITY WAY
4,1515 South Lewis Street,1515 LEWIS ST
10,1516 W University Way,1516 WEST UNIVERSITY WAY
222,1570 N National Ave Suite 105,1570 N NATIONAL AVE STE 105
146,15804 Hwy 99 Unit A,15804 HIGHWAY 99 UNIT A
202,15915B State HWY 305 NE,15915B State HWY 305 NE
34,15919 Hwy 99,15919 HWY 99
195,15928 Highway 99 S.,15928 HWY 99
298,15937 Redmond Way,15937 REDMOND WAY STE B
199,16053 Aurora Ave N Suite B,16053 AURORA AVE N STE B
295,1606 Fruitvale Blvd,1606 FRUITVALE BLVD
302,1611 Smitty's Blvd Suite B,1611 S SMITTYS BLVD  STE B
197,1615 Basin St SW,1615 BASIN ST SW
156,16204 SE 272nd St,16204 SE 272ND ST
235,1628 Dexter Ave N,1628 DEXTER AVE N
123,16810 415 Ave SE Unit A2,16810 415TH AVE SE UNIT A2
50,17 North Ralph Street,17 N RALPH ST STE 102
167,1703 SE Sedgwick Rd #113,1703 SE SEDGWICK RD
178,1717 NE Andresen Rd (NOT ANDERSON ROAD),1717 NE ANDRESEN RD
18,1728 4th Ave S,1728 4TH AVE S
3,17517 15th Ave NE #202,17517 15TH AVE NE STE 202
104,17517 15th Ave NE Unit B,17517 15TH AVE NE #B
282,17547 15th Ave NE,17547 15TH AVE NE
201,1762 Village Lane Southeast,1762 VILLAGE LN SE
228,17730 Ambaum BLV. S,17730 AMBAUM BLVD S UNIT E
303,17730 Ambaum Blvd. S,17730 AMBAUM BLVD S UNIT E
209,17905 Memorial HWY,17905 STATE ROUTE 536
327,17905 Memorial Hwy,17905 STATE ROUTE 536
324,"18026 State Route 9 SE, STE A",18026 STATE ROUTE 9 SE STE 2
95,1817 130th Ave NE Suite B,1817 130TH AVE NE SUITE B & C
35,1824 Broadway,1824 BROADWAY
187,1840 James St.,1840 JAMES ST
152,1845 1st Street,1845 1ST ST
215,18646 State Route 525 Suite B,18646 SR 525 STE B
198,18729 Fir Island Rd Suite C,18729 FIR ISLAND RD STE C
33,1906 Broadway,1906 BROADWAY
229,1912 201st Place SE #202,1912 201ST PLACE SE #202
265,19127 Smokey Point Blvd,19127 SMOKEY POINT BLVD BLDG 1
54,1919 E Francis Ave.,1919 E FRANCIS AVE  STE B
256,19258 15th Ave NE Suite B,19258 15TH AVE NE STE B
137,19302 Bothell Everett Hwy,19302 BOTHELL EVERETT HWY
297,19315 Bothell Everett Hwy Unit 1,19315 BOTHELL EVERETT HWY #1
108,193161 US-101,193161 HWY 101
269,1940 124th Avenue NE A-101,1940 124TH AVE NE STE A-101
120,19525 Bothell Everett Highway,19525 BOTHELL EVERETT HWY A
127,1956 1st Ave S,1956 1ST AVE S
63,1967 Hwy 395 S. Suite C,1967 HIGHWAY 395 S STE C
236,19705 South Griffin Road,19705 N GRIFFIN RD
52,19943 Old  Hwy 99 SW,19943 OLD HWY 99 SW
284,19943 Old Hwy 99 SW,19943 OLD HWY 99 SW
1,2018 Iron St.,2018 IRON ST STE A
62,2028 10th Avenue,2028 10TH AVE
319,206 Morgan Street,206 MORGAN ST
85,20639 B Old HWY 99 SW # B,20639 OLD HIGHWAY 99 SW UNIT B
