County,MHI_5y,MHI_white_5y,MHI_black_5y,MHI_am_indian_5y,MHI_asian_5y,MHI_haw_pac_5y,MHI_other_5y,MHI_two_plus_5y,MHI_hispanic_5y,MHI_white_not_hispanic_5y,population_5y,population_21plus_5y,male_percent_5y,female_percent_5y,age_median_5y,age_21_over_5y,age_18_over_5y,age_20_to_24_5y,age_25_to_34_5y,age_35_to_44_5y,age_45_to_54_5y,age_55_to_59_5y,age_60_to_64_5y,age_65_over_5y,white_5y,black_5y,am_indian_5y,asian_5y,haw_pac_5y,other_race_5y,hisp_5y,white_not_hisp_5y,MHI_1y,MHI_white_1y,MHI_black_1y,MHI_am_indian_1y,MHI_asian_1y,MHI_haw_pac_1y,MHI_other_1y,MHI_two_plus_1y,MHI_hispanic_1y,MHI_white_not_hispanic_1y,population_1y,population_21plus_1y,male_percent_1y,female_percent_1y,age_median_1y,age_21_over_1y,age_18_over_1y,age_20_to_24_1y,age_25_to_34_1y,age_35_to_44_1y,age_45_to_54_1y,age_55_to_59_1y,age_60_to_64_1y,age_65_over_1y,white_1y,black_1y,am_indian_1y,asian_1y,haw_pac_1y,other_race_1y,hisp_1y,white_not_hisp_1y,Year,Square Miles
BENTON,60589.0,63388.0,56233.0,40556.0,84274.0,52500.0,37555.0,57425.0,38585.0,64672.0,182053.0,125510.0,50.2,49.8,35.5,68.9,73.1,6.6,13.3,12.2,13.5,6.5,6.0,12.5,80.2,2.2,1.9,3.7,0.4,12.2,19.5,73.4,58093.0,60123.0,36350.0,24393.0,177150.0,,36017.0,32013.0,36457.0,61236.0,186486.0,129541.0,50.1,49.9,35.4,69.5,73.7,6.9,13.5,12.0,12.6,5.9,6.5,13.5,80.3,2.7,1.8,3.7,0.5,11.7,20.4,72.2,2015,1700.38
BENTON,60251.0,62873.0,48844.0,45066.0,70875.0,49500.0,38364.0,54020.0,39209.0,64416.0,184930.0,127631.0,50.0,50.0,35.5,69.0,73.2,6.7,13.4,12.1,13.1,6.4,6.1,12.9,80.2,2.3,1.8,3.8,0.4,12.1,20.0,72.6,62484.0,66038.0,,,63455.0,,36358.0,,38621.0,68856.0,190309.0,131269.0,49.6,50.4,35.5,69.0,73.0,6.4,13.7,11.9,12.5,6.2,5.8,14.2,80.1,2.3,1.7,4.2,0.6,11.8,21.0,71.2,2016,1700.38
BENTON,61147.0,63203.0,65274.0,45463.0,77679.0,49545.0,40771.0,55795.0,40714.0,64729.0,187519.0,130037.0,50.1,49.9,35.5,69.3,73.2,6.5,13.4,12.1,12.8,6.5,6.2,13.4,80.4,2.3,1.9,3.9,0.4,11.8,20.3,72.2,62508.0,64653.0,57952.0,,,,45609.0,57768.0,37767.0,67860.0,193686.0,134878.0,49.6,50.4,35.6,69.6,73.2,6.2,13.3,12.5,11.9,6.2,6.4,14.2,83.2,2.3,1.7,4.1,,9.4,21.4,71.0,2017,1700.38
BENTON,63001.0,65217.0,55077.0,43688.0,91845.0,51938.0,45776.0,49063.0,44602.0,67356.0,190529.0,132281.0,50.1,49.9,35.6,69.4,73.2,6.4,13.6,12.1,12.4,6.5,6.2,13.7,80.4,2.4,1.9,3.9,0.5,11.6,20.8,71.6,63346.0,65373.0,,84457.0,103731.0,,49549.0,35622.0,48075.0,69577.0,198171.0,137822.0,50.1,49.9,36.1,69.5,73.3,6.1,13.6,12.6,11.8,6.8,5.6,14.4,83.0,2.3,2.5,4.2,,8.1,21.9,70.3,2018,1700.38
BENTON,65650.0,68150.0,,47917.0,95385.0,51000.0,48339.0,44375.0,45558.0,71374.0,194168.0,134869.0,50.0,50.0,35.7,69.5,73.2,6.2,13.5,12.2,12.1,6.3,6.2,14.1,81.5,2.4,1.9,4.0,0.5,10.3,21.3,70.9,68115.0,70111.0,26485.0,,81285.0,,57123.0,66357.0,50108.0,73869.0,201877.0,140457.0,49.5,50.5,35.8,69.6,73.3,5.7,13.7,12.4,11.8,6.2,5.9,14.9,82.6,2.6,1.6,4.1,0.4,8.9,22.3,69.7,2019,1700.38
CHELAN,51354.0,51961.0,23125.0,43636.0,38875.0,,43033.0,44650.0,43391.0,53773.0,73047.0,52320.0,49.8,50.2,39.4,71.6,75.4,6.3,11.9,11.1,14.0,7.8,6.2,15.6,88.7,0.6,1.8,1.4,0.3,7.4,26.4,69.9,51101.0,51284.0,,,,,49991.0,60365.0,41460.0,53339.0,73967.0,52533.0,48.3,51.7,39.2,71.0,76.0,5.0,13.3,11.4,12.1,8.4,5.9,16.6,89.9,0.7,1.4,1.6,0.8,5.9,27.1,69.0,2014,2920.52
CHELAN,50876.0,51182.0,40625.0,45438.0,46397.0,,50233.0,44557.0,42601.0,53337.0,73664.0,52883.0,49.9,50.1,39.2,71.8,75.4,6.2,12.0,11.1,13.4,7.6,6.3,16.2,90.1,0.9,1.9,1.6,0.4,5.6,26.8,69.5,50177.0,50406.0,,,,,,,42048.0,51511.0,74588.0,53542.0,50.4,49.6,40.3,71.8,74.8,6.9,10.7,11.9,12.2,6.9,7.0,17.3,93.8,1.8,1.7,1.7,,2.2,27.4,,2015,2920.52
CHELAN,51837.0,52185.0,40357.0,48194.0,,,50707.0,36641.0,41889.0,54780.0,74267.0,53474.0,49.9,50.1,39.3,72.0,75.6,6.4,12.1,11.0,12.9,7.5,6.5,16.7,90.1,0.9,2.1,1.4,0.3,5.6,27.2,69.0,56890.0,56161.0,,,,,58707.0,,41682.0,58703.0,75644.0,54912.0,50.1,49.9,40.0,72.6,76.0,5.3,11.9,12.0,12.5,6.6,7.1,18.2,,,1.6,,,7.6,27.7,,2016,2920.52
CHELAN,51845.0,51725.0,,47143.0,76250.0,,52692.0,62702.0,42021.0,54772.0,74761.0,54107.0,49.8,50.2,39.8,72.4,75.8,6.4,12.1,11.1,12.4,7.2,6.7,17.5,90.7,1.2,2.4,1.6,0.4,4.7,27.2,68.8,52080.0,51532.0,,,46439.0,,,,41522.0,56383.0,76338.0,55371.0,50.0,50.0,40.3,72.5,76.0,6.5,11.1,11.3,12.5,7.4,6.7,18.4,90.3,3.1,2.4,1.9,,4.4,27.7,68.1,2017,2920.52
CHELAN,54975.0,55024.0,,43750.0,92963.0,,54534.0,63900.0,43875.0,57675.0,75138.0,54160.0,49.7,50.3,39.9,72.1,75.8,6.1,12.3,11.2,12.2,7.2,6.9,17.6,89.3,1.4,2.4,1.6,0.5,6.1,27.5,68.3,61615.0,65851.0,,,,,45406.0,,45986.0,66457.0,76533.0,53491.0,50.2,49.8,40.6,69.9,75.9,5.1,10.7,10.9,12.4,7.0,7.6,18.3,82.3,1.5,1.6,1.6,,13.0,28.1,,2018,2920.52
