"Note: The report represents net sales that are self-reported by retail marijuana licensees. Information is subject to change due to late reports, corrections or audit findings. This file will be updated by approximately the 10th business day of each month.       ",,,
Last Update: 04/06/2021,,,
,,,
License Number,Reporting Period, Total Sales , Excise Tax Due 
414460,2018-02," 20,167 "," 7,462 "
414470,2018-02," 219,855 "," 81,346 "
414491,2018-02," 336,849 "," 124,634 "
414495,2018-02," 167,363 "," 61,924 "
414500,2018-02," 129,429 "," 47,889 "
414503,2018-02," 227,718 "," 84,256 "
414520,2018-02," 604,941 "," 223,828 "
414532,2018-02," 408,775 "," 151,247 "
414533,2018-02," 671,643 "," 248,508 "
414539,2018-02," 3,097 "," 1,146 "
414550,2018-02," 142,816 "," 52,842 "
414558,2018-02," 26,516 "," 9,811 "
414569,2018-02," 209,377 "," 77,470 "
414573,2018-02," 18,192 "," 6,731 "
414574,2018-02," 142,606 "," 52,764 "
414656,2018-02," 129,704 "," 47,991 "
414664,2018-02," 358,930 "," 132,804 "
414680,2018-02," 114,826 "," 42,486 "
414712,2018-02," 25,493 "," 9,432 "
414714,2018-02," 761,348 "," 281,699 "
414716,2018-02," 201,475 "," 74,546 "
414723,2018-02," 14,723 "," 5,447 "
414731,2018-02," 468,655 "," 173,402 "
414733,2018-02," 335,119 "," 123,994 "
414735,2018-02," 143,638 "," 53,146 "
414740,2018-02," 108,864 "," 40,280 "
414749,2018-02," 34,876 "," 12,904 "
414750,2018-02," 76,935 "," 28,466 "
414755,2018-02," 54,440 "," 20,143 "
414761,2018-02," 79,317 "," 29,347 "
414780,2018-02," 87,967 "," 32,548 "
414785,2018-02," 135,515 "," 50,141 "
414803,2018-02," 26,841 "," 9,931 "
414812,2018-02," 204,640 "," 75,717 "
414814,2018-02," 96,893 "," 35,850 "
414817,2018-02," 322,158 "," 119,198 "
414823,2018-02," 483,603 "," 178,933 "
414829,2018-02," 455,994 "," 168,718 "
414841,2018-02," 383,187 "," 141,779 "
414864,2018-02," 183,987 "," 68,075 "
414867,2018-02," 673,797 "," 249,305 "
414868,2018-02," 317,204 "," 117,366 "
414871,2018-02," 212,921 "," 78,781 "
414876,2018-02," 1,362,605 "," 504,164 "
414884,2018-02," 226,974 "," 83,981 "
414889,2018-02," 318,430 "," 117,819 "
414893,2018-02," 176,006 "," 65,122 "
414918,2018-02," 55,338 "," 20,475 "
414958,2018-02," 110,115 "," 40,743 "
414959,2018-02," 13,329 "," 4,932 "
414963,2018-02," 90,648 "," 33,540 "
414970,2018-02," 191,114 "," 70,712 "
414983,2018-02," 400,109 "," 148,040 "
414995,2018-02," 53,154 "," 19,667 "
415001,2018-02," 155,124 "," 57,396 "
415010,2018-02," 360,107 "," 133,240 "
415031,2018-02," 172,926 "," 63,983 "
415032,2018-02," 18,723 "," 6,927 "
415064,2018-02," 35,044 "," 12,966 "
415083,2018-02," 686,484 "," 253,999 "
415094,2018-02," 312,890 "," 115,769 "
415112,2018-02," 436,360 "," 161,453 "
415115,2018-02," 144,337 "," 53,405 "
415124,2018-02," 74,106 "," 27,419 "
415130,2018-02," 196,254 "," 72,614 "
415132,2018-02," 195,173 "," 72,214 "
415183,2018-02," 236,063 "," 87,343 "
415198,2018-02," 271,678 "," 100,521 "
415203,2018-02," 142,851 "," 52,855 "
415211,2018-02," 224,053 "," 82,899 "
415216,2018-02," 237,068 "," 87,715 "
415222,2018-02," 164,873 "," 61,003 "
415229,2018-02," 278,603 "," 103,083 "
415238,2018-02," 159,936 "," 59,176 "
415287,2018-02," 61,737 "," 22,843 "
415294,2018-02," 42,518 "," 15,731 "
415303,2018-02," 124,078 "," 45,909 "
415314,2018-02," 67,864 "," 25,110 "
415325,2018-02," 59,152 "," 21,886 "
415333,2018-02," 491,035 "," 181,683 "
415343,2018-02," 70,183 "," 25,968 "
415348,2018-02," 94,147 "," 34,834 "
415361,2018-02," 50,284 "," 18,605 "
415406,2018-02," 264,870 "," 98,002 "
415410,2018-02," 225,027 "," 83,260 "
415429,2018-02," 111,022 "," 41,078 "
415445,2018-02," 73,548 "," 27,213 "
415470,2018-02," 216,029 "," 79,931 "
415484,2018-02," 46,103 "," 17,058 "
415486,2018-02," 138,823 "," 51,365 "
415488,2018-02," 147,134 "," 54,440 "
415504,2018-02," 413,925 "," 153,152 "
415507,2018-02," 201,123 "," 74,415 "
415509,2018-02," 105,778 "," 39,138 "
415513,2018-02," 107,371 "," 39,727 "
415517,2018-02," 178,104 "," 65,898 "
415523,2018-02," 77,257 "," 28,585 "
415526,2018-02," 283,521 "," 104,903 "
415534,2018-02," 93,298 "," 34,520 "
415539,2018-02," 66,332 "," 24,543 "
415567,2018-02," 234,835 "," 86,889 "
415575,2018-02," 132,286 "," 48,946 "
415641,2018-02," 113,689 "," 42,065 "
415645,2018-02," 158,878 "," 58,785 "
415652,2018-02," 267,915 "," 99,129 "
415658,2018-02," 159,222 "," 58,912 "
416102,2018-02," 200,083 "," 74,031 "
416540,2018-02," 208,088 "," 76,993 "
417114,2018-02," 386,205 "," 142,896 "
417469,2018-02," 57,955 "," 21,443 "
417486,2018-02," 122,277 "," 45,243 "
417643,2018-02," 175,055 "," 64,770 "
417646,2018-02," 163,831 "," 60,618 "
417880,2018-02," 96,975 "," 35,881 "
419640,2018-02," 174,913 "," 64,718 "
420123,2018-02," 61,375 "," 22,709 "
420291,2018-02," 241,682 "," 89,422 "
420292,2018-02, 189 , 70 
420336,2018-02," 188,980 "," 69,922 "
420382,2018-02, 192 , 71 
420389,2018-02," 325,441 "," 120,413 "
420400,2018-02," 64,999 "," 24,050 "
420416,2018-02," 56,757 "," 21,000 "
420478,2018-02," 62,611 "," 23,166 "
420497,2018-02," 110,390 "," 40,844 "
420661,2018-02," 96,772 "," 35,805 "
420741,2018-02," 523,634 "," 193,745 "
420785,2018-02," 89,786 "," 33,221 "
420793,2018-02," 106,496 "," 39,403 "
420800,2018-02," 42,655 "," 15,782 "
420801,2018-02," 106,917 "," 39,559 "
420819,2018-02," 112,365 "," 41,575 "
420889,2018-02," 330,862 "," 122,419 "
420894,2018-02," 76,909 "," 28,456 "
420895,2018-02," 71,080 "," 26,299 "
420898,2018-02," 172,642 "," 63,878 "
420908,2018-02," 94,176 "," 34,845 "
420934,2018-02," 82,659 "," 30,584 "
421005,2018-02," 242,234 "," 89,627 "
421069,2018-02," 211,317 "," 78,187 "
421084,2018-02," 533,316 "," 197,327 "
421110,2018-02," 238,781 "," 88,349 "
421141,2018-02," 633,089 "," 234,243 "
421168,2018-02," 128,695 "," 47,617 "
421261,2018-02," 173,699 "," 64,268 "
421326,2018-02," 204,984 "," 75,844 "
421335,2018-02," 245,757 "," 90,930 "
421350,2018-02," 7,269 "," 2,689 "
421359,2018-02," 105,649 "," 39,090 "
421409,2018-02," 277,833 "," 102,798 "
421490,2018-02," 120,642 "," 44,637 "
421491,2018-02," 79,460 "," 29,400 "
421507,2018-02," 23,765 "," 8,793 "
421514,2018-02," 377,343 "," 139,617 "
421552,2018-02," 170,653 "," 63,141 "
421562,2018-02," 266,574 "," 98,632 "
421568,2018-02," 135,303 "," 50,062 "
421577,2018-02," 140,265 "," 51,898 "
421616,2018-02," 192,621 "," 71,270 "
421630,2018-02," 108,955 "," 40,313 "
421632,2018-02," 2,250 ", 833 
421642,2018-02," 199,535 "," 73,828 "
421650,2018-02," 26,842 "," 9,932 "
421652,2018-02," 90,069 "," 33,326 "
421667,2018-02," 70,001 "," 25,901 "
421695,2018-02," 93,573 "," 34,622 "
421698,2018-02," 316,536 "," 117,118 "
421702,2018-02," 501,470 "," 185,544 "
421707,2018-02," 201,896 "," 74,702 "
421708,2018-02," 316,494 "," 117,103 "
421709,2018-02," 100,932 "," 37,345 "
421738,2018-02," 137,478 "," 50,867 "
421757,2018-02," 104,181 "," 38,547 "
421777,2018-02," 337,035 "," 124,703 "
421789,2018-02," 393,161 "," 145,469 "
421804,2018-02," 178,815 "," 66,161 "
421805,2018-02," 720,104 "," 266,439 "
421813,2018-02," 66,266 "," 24,518 "
421876,2018-02," 55,484 "," 20,529 "
421878,2018-02," 7,826 "," 2,896 "
421900,2018-02," 301,976 "," 111,731 "
421918,2018-02," 15,262 "," 5,647 "
421953,2018-02, 107 , 39 
422010,2018-02," 52,156 "," 19,298 "
422037,2018-02," 132,346 "," 48,968 "
422044,2018-02," 48,268 "," 17,859 "
422049,2018-02," 208,392 "," 77,105 "
422055,2018-02," 210,188 "," 77,769 "
422099,2018-02," 20,723 "," 7,668 "
422103,2018-02," 216,789 "," 80,212 "
422109,2018-02," 167,346 "," 61,918 "
422138,2018-02," 49,808 "," 18,429 "
422139,2018-02," 18,997 "," 7,029 "
422146,2018-02," 247,906 "," 91,725 "
422158,2018-02," 143,874 "," 53,233 "
422168,2018-02," 115,146 "," 42,604 "
422194,2018-02," 121,364 "," 44,905 "
422202,2018-02," 51,964 "," 19,227 "
422218,2018-02," 568,337 "," 210,285 "
422234,2018-02," 64,649 "," 23,920 "
422239,2018-02," 61,941 "," 22,918 "
422278,2018-02," 224,565 "," 83,089 "
422298,2018-02," 20,156 "," 7,458 "
422332,2018-02," 103,282 "," 38,214 "
422336,2018-02," 336,887 "," 124,648 "
422350,2018-02," 124,798 "," 46,175 "
422431,2018-02," 123,938 "," 45,857 "
422442,2018-02," 341,135 "," 126,220 "
422447,2018-02," 398,582 "," 147,475 "
422459,2018-02," 22,198 "," 8,213 "
422460,2018-02," 16,568 "," 6,130 "
422466,2018-02," 22,428 "," 8,298 "
422504,2018-02," 144,786 "," 53,571 "
422507,2018-02," 68,720 "," 25,426 "
422525,2018-02," 14,923 "," 5,522 "
422570,2018-02," 177,850 "," 65,804 "
422655,2018-02," 17,902 "," 6,624 "
422658,2018-02," 12,897 "," 4,772 "
422701,2018-02," 10,818 "," 4,003 "
422764,2018-02," 149,260 "," 55,226 "
422765,2018-02," 5,754 "," 2,129 "
422777,2018-02," 39,756 "," 14,710 "
422781,2018-02," 25,161 "," 9,310 "
422785,2018-02," 36,107 "," 13,359 "
422792,2018-02," 34,863 "," 12,899 "
422796,2018-02," 57,357 "," 21,222 "
422817,2018-02," 82,870 "," 30,662 "
422827,2018-02, 10 , 4 
422944,2018-02, 109 , 40 
422944,2018-02," 86,950 "," 32,172 "
422954,2018-02," 45,077 "," 16,679 "
422978,2018-02," 59,237 "," 21,918 "
422992,2018-02," 204,991 "," 75,847 "
423000,2018-02," 243,342 "," 90,037 "
423036,2018-02," 34,312 "," 12,695 "
423096,2018-02," 170,159 "," 62,959 "
423203,2018-02," 81,599 "," 30,192 "
423224,2018-02," 163,476 "," 60,486 "
423372,2018-02," 291,619 "," 107,899 "
423379,2018-02," 849,715 "," 314,395 "
423390,2018-02," 84,270 "," 31,180 "
423402,2018-02," 325,548 "," 120,453 "
423413,2018-02," 532,219 "," 196,921 "
423492,2018-02," 404,107 "," 149,520 "
423536,2018-02," 263,469 "," 97,484 "
423542,2018-02," 115,478 "," 42,727 "
423571,2018-02," 251,909 "," 93,206 "
423634,2018-02," 218,643 "," 80,898 "
423754,2018-02," 220,923 "," 81,741 "
423775,2018-02," 59,206 "," 21,906 "
423784,2018-02," 233,665 "," 86,456 "
423829,2018-02," 206,570 "," 76,431 "
423885,2018-02," 60,156 "," 22,258 "
423977,2018-02," 77,544 "," 28,691 "
423993,2018-02," 53,732 "," 19,881 "
424057,2018-02," 188,454 "," 69,728 "
424117,2018-02," 75,270 "," 27,850 "
424190,2018-02," 90,341 "," 33,426 "
424257,2018-02," 135,603 "," 50,173 "
424273,2018-02," 34,805 "," 12,878 "
424311,2018-02," 551,276 "," 203,972 "
424473,2018-02," 111,012 "," 41,074 "
424599,2018-02," 35,848 "," 13,264 "
424647,2018-02," 81,084 "," 30,001 "
424747,2018-02," 581,108 "," 215,010 "
424751,2018-02," 527,890 "," 195,319 "
424848,2018-02," 377,918 "," 139,830 "
424877,2018-02," 18,136 "," 6,710 "
425068,2018-02," 176,122 "," 65,165 "
425185,2018-02," 7,236 "," 2,677 "
425273,2018-02," 219,136 "," 81,080 "
425362,2018-02," 180,025 "," 66,609 "
425507,2018-02," 76,447 "," 28,285 "
425539,2018-02," 537,727 "," 198,959 "
425585,2018-02," 73,438 "," 27,172 "
425686,2018-02," 58,866 "," 21,780 "
425925,2018-02," 245,512 "," 90,839 "
425965,2018-02," 96,511 "," 35,709 "
426039,2018-02," 176,606 "," 65,344 "
426050,2018-02," 47,113 "," 17,432 "
426125,2018-02," 381,333 "," 141,093 "
426199,2018-02," 23,841 "," 8,821 "
071368,2018-03," 438,735 "," 162,332 "
076189,2018-03," 23,809 "," 8,809 "
079013,2018-03," 224,234 "," 82,967 "
079720,2018-03," 152,170 "," 56,303 "
081400,2018-03," 102,452 "," 37,907 "
082587,2018-03," 604,458 "," 223,649 "
084045,2018-03," 450,782 "," 166,789 "
084130,2018-03," 27,545 "," 10,192 "
084154,2018-03," 12,320 "," 4,558 "
085059,2018-03, 891 , 329 
086054,2018-03," 62,061 "," 22,962 "
086823,2018-03," 137,790 "," 50,982 "
350641,2018-03," 43,187 "," 15,979 "
350766,2018-03," 148,509 "," 54,948 "
352673,2018-03," 206,138 "," 76,271 "
353260,2018-03," 43,020 "," 15,917 "
353928,2018-03," 333,778 "," 123,498 "
353993,2018-03," 45,802 "," 16,947 "
354876,2018-03," 224,154 "," 82,937 "
360307,2018-03," 491,939 "," 182,017 "
368015,2018-03, 50 , 18 
400209,2018-03," 51,471 "," 19,044 "
400772,2018-03," 207,561 "," 76,798 "
402039,2018-03," 267,970 "," 99,149 "
402780,2018-03," 104,277 "," 38,582 "
404933,2018-03," 97,037 "," 35,904 "
410273,2018-03," 1,078,313 "," 398,976 "
410332,2018-03," 179,644 "," 66,468 "
410798,2018-03," 142,283 "," 52,645 "
410831,2018-03," 361,276 "," 133,672 "
411970,2018-03," 126,486 "," 46,800 "
412066,2018-03," 64,322 "," 23,799 "
412370,2018-03," 176,154 "," 65,177 "
412466,2018-03," 107,449 "," 39,756 "
412490,2018-03," 433,658 "," 160,453 "
412494,2018-03," 778,440 "," 288,023 "
412921,2018-03," 147,053 "," 54,410 "
412922,2018-03," 153,528 "," 56,805 "
412923,2018-03," 830,224 "," 307,183 "
413258,2018-03," 288,337 "," 106,685 "
413314,2018-03," 182,366 "," 67,475 "
413319,2018-03," 169,165 "," 62,591 "
413358,2018-03," 1,181,208 "," 437,047 "
413363,2018-03," 423,405 "," 156,660 "
413366,2018-03," 141,177 "," 52,236 "
413369,2018-03," 527,781 "," 195,279 "
413372,2018-03," 288,625 "," 106,791 "
413374,2018-03," 245,608 "," 90,875 "
413385,2018-03," 53,225 "," 19,693 "
413407,2018-03," 83,100 "," 30,747 "
413414,2018-03," 88,303 "," 32,672 "
413420,2018-03," 431,806 "," 159,768 "
413426,2018-03," 322,000 "," 119,140 "
413427,2018-03," 159,644 "," 59,068 "
413428,2018-03," 88,591 "," 32,779 "
413481,2018-03," 231,447 "," 85,635 "
413492,2018-03," 120,387 "," 44,543 "
413519,2018-03," 158,751 "," 58,738 "
413529,2018-03," 63,255 "," 23,404 "
413530,2018-03," 25,528 "," 9,445 "
413534,2018-03," 165,063 "," 61,073 "
413541,2018-03," 191,132 "," 70,719 "
413544,2018-03," 168,121 "," 62,205 "
413550,2018-03," 203,037 "," 75,124 "
413551,2018-03," 133,211 "," 49,288 "
413558,2018-03," 375,947 "," 139,100 "
413570,2018-03," 381,856 "," 141,287 "
413586,2018-03," 95,214 "," 35,229 "
413596,2018-03," 97,279 "," 35,993 "
413600,2018-03," 79,298 "," 29,340 "
413677,2018-03," 101,724 "," 37,638 "
413683,2018-03," 612,958 "," 226,795 "
413692,2018-03," 308,443 "," 114,124 "
413700,2018-03," 1,942 ", 719 
413700,2018-03," 1,986 ", 735 
413702,2018-03," 43,335 "," 16,034 "
413727,2018-03," 157,213 "," 58,169 "
413729,2018-03," 106,180 "," 39,287 "
413732,2018-03," 323,000 "," 119,510 "
413737,2018-03," 148,115 "," 54,802 "
413739,2018-03," 500,865 "," 185,320 "
413762,2018-03," 156,626 "," 57,952 "
413773,2018-03," 143,238 "," 52,998 "
413791,2018-03," 361,148 "," 133,625 "
413798,2018-03," 125,801 "," 46,546 "
413801,2018-03," 61,552 "," 22,774 "
413802,2018-03," 96,508 "," 35,708 "
413803,2018-03," 270,486 "," 100,080 "
413809,2018-03," 209,043 "," 77,346 "
413812,2018-03," 154,068 "," 57,005 "
413813,2018-03," 303,127 "," 112,157 "
413821,2018-03," 53,576 "," 19,823 "
413843,2018-03," 149,571 "," 55,341 "
413846,2018-03," 5,262 "," 1,947 "
413847,2018-03," 89,250 "," 33,022 "
413870,2018-03," 172,327 "," 63,761 "
413886,2018-03," 170,855 "," 63,216 "
413893,2018-03," 286,041 "," 105,835 "
413897,2018-03," 56,451 "," 20,887 "
413901,2018-03," 187,894 "," 69,521 "
413930,2018-03," 66,558 "," 24,626 "
413940,2018-03," 192,436 "," 71,201 "
413994,2018-03," 63,974 "," 23,670 "
414002,2018-03," 173,528 "," 64,205 "
414060,2018-03," 211,645 "," 78,309 "
414065,2018-03," 168,435 "," 62,321 "
414103,2018-03," 234,887 "," 86,908 "
414160,2018-03," 163,210 "," 60,388 "
414174,2018-03," 276,462 "," 102,291 "
414181,2018-03," 301,469 "," 111,543 "
414211,2018-03," 432,412 "," 159,992 "
414216,2018-03," 10,434 "," 3,861 "
414225,2018-03," 288,043 "," 106,576 "
414243,2018-03," 135,579 "," 50,164 "
414256,2018-03," 106,412 "," 39,373 "
414280,2018-03," 145,560 "," 53,857 "
414292,2018-03," 70,321 "," 26,019 "
414295,2018-03," 742,165 "," 274,601 "
414298,2018-03," 74,138 "," 27,431 "
414345,2018-03," 130,105 "," 48,139 "
414356,2018-03," 263,820 "," 97,613 "
414398,2018-03," 211,754 "," 78,349 "
414425,2018-03," 140,837 "," 52,110 "
414430,2018-03," 186,224 "," 68,903 "
414441,2018-03," 268,467 "," 99,333 "
414449,2018-03," 567,143 "," 209,843 "
414450,2018-03," 19,025 "," 7,039 "
414454,2018-03," 4,455 "," 1,648 "
414460,2018-03," 22,542 "," 8,341 "
414470,2018-03," 253,142 "," 93,662 "
414491,2018-03," 386,694 "," 143,077 "
414495,2018-03," 189,495 "," 70,113 "
414500,2018-03," 149,533 "," 55,327 "
414503,2018-03," 253,343 "," 93,737 "
414508,2018-03," 35,883 "," 13,277 "
414520,2018-03," 698,309 "," 258,374 "
414532,2018-03," 470,004 "," 173,901 "
414533,2018-03," 766,830 "," 283,727 "
414539,2018-03," 4,097 "," 1,516 "
414550,2018-03," 161,091 "," 59,604 "
414558,2018-03," 35,321 "," 13,069 "
414569,2018-03," 233,505 "," 86,397 "
414573,2018-03," 18,632 "," 6,894 "
414574,2018-03," 161,495 "," 59,753 "
414656,2018-03," 139,644 "," 51,668 "
414664,2018-03," 410,192 "," 151,771 "
414680,2018-03," 126,122 "," 46,665 "
414712,2018-03," 32,195 "," 11,912 "
414714,2018-03," 827,567 "," 306,200 "
414716,2018-03," 235,184 "," 87,018 "
414731,2018-03," 540,180 "," 199,867 "
414733,2018-03," 372,693 "," 137,896 "
414735,2018-03," 159,871 "," 59,152 "
414740,2018-03," 122,893 "," 45,470 "
414749,2018-03," 38,692 "," 14,316 "
414750,2018-03," 78,437 "," 29,022 "
414755,2018-03," 62,684 "," 23,193 "
414761,2018-03," 89,217 "," 33,010 "
414780,2018-03," 95,423 "," 35,307 "
414785,2018-03," 146,975 "," 54,381 "
414803,2018-03," 30,536 "," 11,299 "
414812,2018-03," 230,546 "," 85,302 "
414814,2018-03," 106,764 "," 39,503 "
414817,2018-03," 373,927 "," 138,353 "
414823,2018-03," 547,577 "," 202,603 "
414829,2018-03," 503,172 "," 186,174 "
414841,2018-03," 408,771 "," 151,245 "
414864,2018-03," 215,818 "," 79,853 "
414867,2018-03," 748,336 "," 276,884 "
414868,2018-03," 331,204 "," 122,546 "
414871,2018-03," 234,067 "," 86,605 "
414876,2018-03," 1,512,384 "," 559,582 "
414884,2018-03," 251,346 "," 92,998 "
414889,2018-03," 347,147 "," 128,444 "
414893,2018-03," 181,342 "," 67,096 "
414918,2018-03," 62,910 "," 23,277 "
414958,2018-03," 124,411 "," 46,032 "
414959,2018-03," 12,317 "," 4,557 "
414963,2018-03," 155,139 "," 57,401 "
414970,2018-03," 204,508 "," 75,668 "
414983,2018-03," 437,197 "," 161,763 "
414995,2018-03," 59,237 "," 21,918 "
415001,2018-03," 175,205 "," 64,826 "
415010,2018-03," 399,494 "," 147,813 "
415031,2018-03," 199,689 "," 73,885 "
415032,2018-03," 19,479 "," 7,207 "
415064,2018-03," 32,064 "," 11,864 "
415083,2018-03," 727,631 "," 269,224 "
415094,2018-03," 345,866 "," 127,970 "
415112,2018-03," 482,386 "," 178,483 "
415115,2018-03," 164,172 "," 60,744 "
415124,2018-03," 83,418 "," 30,865 "
415130,2018-03," 215,977 "," 79,912 "
415132,2018-03," 237,614 "," 87,917 "
415183,2018-03," 293,354 "," 108,541 "
415198,2018-03," 317,760 "," 117,571 "
415203,2018-03," 148,696 "," 55,018 "
415211,2018-03," 250,363 "," 92,634 "
415216,2018-03," 264,775 "," 97,967 "
415222,2018-03," 179,179 "," 66,296 "
415229,2018-03," 311,120 "," 115,114 "
415238,2018-03," 168,463 "," 62,331 "
415287,2018-03," 72,817 "," 26,942 "
415294,2018-03," 50,391 "," 18,645 "
415303,2018-03," 139,640 "," 51,667 "
415314,2018-03," 75,742 "," 28,024 "
415325,2018-03," 64,528 "," 23,875 "
415333,2018-03," 554,540 "," 205,180 "
415343,2018-03," 80,105 "," 29,639 "
415348,2018-03," 138,325 "," 51,180 "
415361,2018-03," 60,419 "," 22,355 "
415406,2018-03," 288,300 "," 106,671 "
415410,2018-03," 276,321 "," 102,239 "
415429,2018-03," 111,325 "," 41,190 "
415445,2018-03," 77,590 "," 28,708 "
415470,2018-03," 242,606 "," 89,764 "
415484,2018-03," 53,025 "," 19,619 "
415486,2018-03," 156,997 "," 58,089 "
415488,2018-03," 154,659 "," 57,224 "
415504,2018-03," 455,161 "," 168,410 "
415507,2018-03," 221,498 "," 81,954 "
415509,2018-03," 119,613 "," 44,257 "
415513,2018-03," 118,465 "," 43,832 "
415517,2018-03," 195,390 "," 72,294 "
415523,2018-03," 85,866 "," 31,770 "
415526,2018-03," 322,618 "," 119,369 "
415534,2018-03," 111,943 "," 41,419 "
415539,2018-03," 72,857 "," 26,957 "
415567,2018-03," 266,890 "," 98,749 "
415575,2018-03," 150,112 "," 55,542 "
415641,2018-03," 130,024 "," 48,109 "
415645,2018-03," 179,977 "," 66,592 "
415652,2018-03," 261,402 "," 96,719 "
415658,2018-03," 165,641 "," 61,287 "
416102,2018-03," 224,721 "," 83,147 "
416540,2018-03," 227,830 "," 84,297 "
417114,2018-03," 382,653 "," 141,581 "
417469,2018-03," 62,501 "," 23,125 "
417486,2018-03," 143,743 "," 53,185 "
417643,2018-03," 197,095 "," 72,925 "
417646,2018-03," 197,412 "," 73,042 "
417880,2018-03," 106,396 "," 39,367 "
419640,2018-03," 196,423 "," 72,677 "
420123,2018-03," 77,145 "," 28,544 "
420291,2018-03," 253,231 "," 93,696 "
420336,2018-03," 208,813 "," 77,261 "
420389,2018-03," 372,974 "," 138,000 "
420400,2018-03," 73,191 "," 27,081 "
420416,2018-03," 62,105 "," 22,979 "
420478,2018-03," 15,373 "," 5,688 "
420497,2018-03," 133,230 "," 49,295 "
420661,2018-03," 103,103 "," 38,148 "
420741,2018-03," 572,609 "," 211,865 "
420785,2018-03," 117,565 "," 43,499 "
420793,2018-03," 120,978 "," 44,762 "
420800,2018-03," 44,444 "," 16,444 "
420801,2018-03," 117,426 "," 43,448 "
420819,2018-03," 128,052 "," 47,379 "
420889,2018-03," 385,519 "," 142,642 "
420894,2018-03," 81,765 "," 30,253 "
420895,2018-03," 90,578 "," 33,514 "
420898,2018-03," 192,719 "," 71,306 "
420908,2018-03," 108,442 "," 40,124 "
420934,2018-03," 93,827 "," 34,716 "
421005,2018-03," 259,862 "," 96,149 "
421069,2018-03," 250,134 "," 92,550 "
421084,2018-03," 597,749 "," 221,167 "
421110,2018-03," 262,129 "," 96,988 "
421141,2018-03," 734,802 "," 271,877 "
421168,2018-03," 142,476 "," 52,716 "
421261,2018-03," 204,075 "," 75,508 "
421326,2018-03," 239,404 "," 88,579 "
421335,2018-03," 286,585 "," 106,036 "
421350,2018-03," 8,141 "," 3,012 "
421359,2018-03," 123,029 "," 45,521 "
421409,2018-03," 318,782 "," 117,949 "
421490,2018-03," 133,537 "," 49,409 "
421491,2018-03," 92,380 "," 34,181 "
421507,2018-03," 26,993 "," 9,987 "
421514,2018-03," 454,649 "," 168,220 "
421552,2018-03," 187,785 "," 69,480 "
421562,2018-03," 295,382 "," 109,291 "
421568,2018-03," 147,206 "," 54,466 "
421577,2018-03," 167,780 "," 62,079 "
421616,2018-03," 220,957 "," 81,754 "
421630,2018-03," 121,941 "," 45,118 "
421642,2018-03," 236,439 "," 87,482 "
421650,2018-03," 32,728 "," 12,109 "
421652,2018-03," 105,731 "," 39,120 "
421667,2018-03," 81,543 "," 30,171 "
421695,2018-03," 95,255 "," 35,244 "
421698,2018-03," 347,864 "," 128,710 "
421702,2018-03," 560,274 "," 207,301 "
421707,2018-03," 229,901 "," 85,063 "
421708,2018-03," 344,266 "," 127,378 "
421709,2018-03," 115,227 "," 42,634 "
421738,2018-03," 172,666 "," 63,886 "
421757,2018-03," 113,824 "," 42,115 "
421777,2018-03," 361,251 "," 133,663 "
421789,2018-03," 437,727 "," 161,959 "
421804,2018-03," 212,625 "," 78,671 "
421805,2018-03," 799,733 "," 295,901 "
421813,2018-03," 72,884 "," 26,967 "
421876,2018-03," 67,950 "," 25,142 "
421900,2018-03," 347,181 "," 128,457 "
421918,2018-03," 18,912 "," 6,997 "
421953,2018-03, 140 , 52 
422010,2018-03," 60,682 "," 22,452 "
422037,2018-03," 152,277 "," 56,342 "
422044,2018-03," 78,259 "," 28,956 "
422049,2018-03," 237,622 "," 87,920 "
422055,2018-03," 249,773 "," 92,416 "
422099,2018-03," 48,881 "," 18,086 "
422103,2018-03," 247,894 "," 91,721 "
422109,2018-03," 185,281 "," 68,554 "
422138,2018-03," 48,276 "," 17,862 "
422139,2018-03," 26,657 "," 9,863 "
422146,2018-03," 290,570 "," 107,511 "
422158,2018-03," 162,407 "," 60,091 "
422168,2018-03," 131,627 "," 48,702 "
422194,2018-03," 159,076 "," 58,858 "
422202,2018-03," 56,908 "," 21,056 "
422218,2018-03," 619,438 "," 229,192 "
422234,2018-03," 70,841 "," 26,211 "
422239,2018-03," 75,724 "," 28,018 "
422278,2018-03," 253,483 "," 93,789 "
422298,2018-03," 22,245 "," 8,231 "
422329,2018-03," 1,611 ", 596 
422332,2018-03," 114,307 "," 42,293 "
422336,2018-03," 394,255 "," 145,874 "
422350,2018-03," 141,508 "," 52,358 "
422431,2018-03," 141,984 "," 52,534 "
422442,2018-03," 383,563 "," 141,918 "
422447,2018-03," 451,203 "," 166,945 "
422454,2018-03," 31,304 "," 11,583 "
422459,2018-03," 25,950 "," 9,602 "
422460,2018-03," 17,785 "," 6,581 "
422466,2018-03," 26,266 "," 9,718 "
422504,2018-03," 153,559 "," 56,817 "
422507,2018-03," 78,523 "," 29,054 "
422525,2018-03," 16,191 "," 5,991 "
422570,2018-03," 203,024 "," 75,119 "
422655,2018-03," 21,668 "," 8,017 "
422658,2018-03," 13,772 "," 5,096 "
422701,2018-03," 15,065 "," 5,574 "
422764,2018-03," 161,296 "," 59,680 "
422765,2018-03," 14,031 "," 5,191 "
422777,2018-03," 48,880 "," 18,085 "
422781,2018-03," 31,128 "," 11,517 "
422785,2018-03," 38,550 "," 14,264 "
422792,2018-03," 40,282 "," 14,904 "
