PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
412826,6/1/2017 - 6/30/2017,"$17,506 ", $- ,,,,,,,,,,
412527,6/1/2017 - 6/30/2017,$893 , $- ,,,,,,,,,,
425000,6/1/2017 - 6/30/2017,"$1,756 ", $- ,,,,,,,,,,
416063,6/1/2017 - 6/30/2017,"$23,483 ", $- ,,,,,,,,,,
416206,6/1/2017 - 6/30/2017,"$4,836 ", $- ,,,,,,,,,,
414115,6/1/2017 - 6/30/2017,$691 , $- ,,,,,,,,,,
415784,6/1/2017 - 6/30/2017,"$2,129 ", $- ,,,,,,,,,,
415921,6/1/2017 - 6/30/2017,"$1,001 ", $- ,,,,,,,,,,
413032,6/1/2017 - 6/30/2017,"$1,596 ", $- ,,,,,,,,,,
412779,6/1/2017 - 6/30/2017,"$6,795 ", $- ,,,,,,,,,,
415744,6/1/2017 - 6/30/2017,"$7,631 ", $- ,,,,,,,,,,
422368,6/1/2017 - 6/30/2017,"$2,096 ", $- ,,,,,,,,,,
413021,6/1/2017 - 6/30/2017,"$10,069 ", $- ,,,,,,,,,,
416490,6/1/2017 - 6/30/2017,"$40,823 ", $- ,,,,,,,,,,
413193,6/1/2017 - 6/30/2017,"$18,323 ", $- ,,,,,,,,,,
413632,6/1/2017 - 6/30/2017,"$28,313 ", $- ,,,,,,,,,,
417338,6/1/2017 - 6/30/2017,$0.04 , $- ,,,,,,,,,,
413156,6/1/2017 - 6/30/2017,"$9,051 ", $- ,,,,,,,,,,
412358,6/1/2017 - 6/30/2017,"$6,913 ", $- ,,,,,,,,,,
417075,6/1/2017 - 6/30/2017,$7 , $- ,,,,,,,,,,
412615,6/1/2017 - 6/30/2017,"$6,457 ", $- ,,,,,,,,,,
412590,6/1/2017 - 6/30/2017,"$31,481 ", $- ,,,,,,,,,,
416138,6/1/2017 - 6/30/2017,$14 , $- ,,,,,,,,,,
416378,6/1/2017 - 6/30/2017,$565 , $- ,,,,,,,,,,
416626,6/1/2017 - 6/30/2017,"$14,934 ", $- ,,,,,,,,,,
417223,6/1/2017 - 6/30/2017,"$4,270 ", $- ,,,,,,,,,,
413619,6/1/2017 - 6/30/2017,"$1,214 ", $- ,,,,,,,,,,
413154,6/1/2017 - 6/30/2017,"$9,314 ", $- ,,,,,,,,,,
413665,6/1/2017 - 6/30/2017,"$12,470 ", $- ,,,,,,,,,,
412425,6/1/2017 - 6/30/2017,$319 , $- ,,,,,,,,,,
413466,6/1/2017 - 6/30/2017,"$18,854 ", $- ,,,,,,,,,,
415914,6/1/2017 - 6/30/2017,"$6,112 ", $- ,,,,,,,,,,
412158,6/1/2017 - 6/30/2017,"$4,581 ", $- ,,,,,,,,,,
422993,6/1/2017 - 6/30/2017,"$17,872 ", $- ,,,,,,,,,,
416417,6/1/2017 - 6/30/2017,"$1,841 ", $- ,,,,,,,,,,
412112,6/1/2017 - 6/30/2017,$382 , $- ,,,,,,,,,,
413277,6/1/2017 - 6/30/2017,"$225,891 ", $- ,,,,,,,,,,
412621,6/1/2017 - 6/30/2017,$855 , $- ,,,,,,,,,,
416968,6/1/2017 - 6/30/2017,$829 , $- ,,,,,,,,,,
416855,6/1/2017 - 6/30/2017,"$6,560 ", $- ,,,,,,,,,,
413064,6/1/2017 - 6/30/2017,"$1,934 ", $- ,,,,,,,,,,
412247,6/1/2017 - 6/30/2017,$141 , $- ,,,,,,,,,,
412843,6/1/2017 - 6/30/2017,"$1,852 ", $- ,,,,,,,,,,
413180,6/1/2017 - 6/30/2017,"$7,530 ", $- ,,,,,,,,,,
424091,6/1/2017 - 6/30/2017,"$4,620 ", $- ,,,,,,,,,,
413199,6/1/2017 - 6/30/2017,"$8,955 ", $- ,,,,,,,,,,
412051,6/1/2017 - 6/30/2017,$4 , $- ,,,,,,,,,,
416566,6/1/2017 - 6/30/2017,"$4,622 ", $- ,,,,,,,,,,
417237,6/1/2017 - 6/30/2017,"$4,077 ", $- ,,,,,,,,,,
416185,6/1/2017 - 6/30/2017,"$136,022 ", $- ,,,,,,,,,,
417443,6/1/2017 - 6/30/2017,"$6,564 ", $- ,,,,,,,,,,
413718,6/1/2017 - 6/30/2017,"$6,181 ", $- ,,,,,,,,,,
416960,6/1/2017 - 6/30/2017,$452 , $- ,,,,,,,,,,
415815,6/1/2017 - 6/30/2017,"$1,785 ", $- ,,,,,,,,,,
414273,6/1/2017 - 6/30/2017,$30 , $- ,,,,,,,,,,
412076,6/1/2017 - 6/30/2017,"$3,630 ", $- ,,,,,,,,,,
413721,6/1/2017 - 6/30/2017,"$2,364 ", $- ,,,,,,,,,,
413655,6/1/2017 - 6/30/2017,"$61,532 ", $- ,,,,,,,,,,
413463,6/1/2017 - 6/30/2017,"$2,578 ", $- ,,,,,,,,,,
416672,6/1/2017 - 6/30/2017,"$17,652 ", $- ,,,,,,,,,,
416158,6/1/2017 - 6/30/2017,$5 , $- ,,,,,,,,,,
412869,6/1/2017 - 6/30/2017,$3 , $- ,,,,,,,,,,
415813,6/1/2017 - 6/30/2017,"$1,322 ", $- ,,,,,,,,,,
413087,6/1/2017 - 6/30/2017,$278 , $- ,,,,,,,,,,
415820,6/1/2017 - 6/30/2017,"$38,621 ", $- ,,,,,,,,,,
424256,6/1/2017 - 6/30/2017,$479 , $- ,,,,,,,,,,
415777,6/1/2017 - 6/30/2017,"$1,100 ", $- ,,,,,,,,,,
412844,6/1/2017 - 6/30/2017,"$19,113 ", $- ,,,,,,,,,,
415762,6/1/2017 - 6/30/2017,"$9,060 ", $- ,,,,,,,,,,
423962,6/1/2017 - 6/30/2017,$504 , $- ,,,,,,,,,,
424983,6/1/2017 - 6/30/2017,$525 , $- ,,,,,,,,,,
416100,6/1/2017 - 6/30/2017,"$3,200 ", $- ,,,,,,,,,,
413131,6/1/2017 - 6/30/2017,"$2,660 ", $- ,,,,,,,,,,
412598,6/1/2017 - 6/30/2017,"$219,563 ", $- ,,,,,,,,,,
417201,6/1/2017 - 6/30/2017,"$126,463 ", $- ,,,,,,,,,,
413018,6/1/2017 - 6/30/2017,$2 , $- ,,,,,,,,,,
412445,6/1/2017 - 6/30/2017,$775 , $- ,,,,,,,,,,
415711,6/1/2017 - 6/30/2017,$0.03 , $- ,,,,,,,,,,
416840,6/1/2017 - 6/30/2017,"$2,258 ", $- ,,,,,,,,,,
413656,6/1/2017 - 6/30/2017,$245 , $- ,,,,,,,,,,
413625,6/1/2017 - 6/30/2017,"$10,930 ", $- ,,,,,,,,,,
412597,6/1/2017 - 6/30/2017,"$7,524 ", $- ,,,,,,,,,,
417367,6/1/2017 - 6/30/2017,"$71,904 ", $- ,,,,,,,,,,
416545,6/1/2017 - 6/30/2017,$10 , $- ,,,,,,,,,,
416926,6/1/2017 - 6/30/2017,"$1,101 ", $- ,,,,,,,,,,
415665,6/1/2017 - 6/30/2017,"$1,340 ", $- ,,,,,,,,,,
412102,6/1/2017 - 6/30/2017,"$6,639 ", $- ,,,,,,,,,,
412746,6/1/2017 - 6/30/2017,"$1,694 ", $- ,,,,,,,,,,
412299,6/1/2017 - 6/30/2017,"$3,242 ", $- ,,,,,,,,,,
423396,6/1/2017 - 6/30/2017,"$31,000 ", $- ,,,,,,,,,,
412369,6/1/2017 - 6/30/2017,$200 , $- ,,,,,,,,,,
412681,6/1/2017 - 6/30/2017,$4 , $- ,,,,,,,,,,
425098,6/1/2017 - 6/30/2017,$800 , $- ,,,,,,,,,,
413920,6/1/2017 - 6/30/2017,"$3,455 ", $- ,,,,,,,,,,
412616,6/1/2017 - 6/30/2017,"$1,915 ", $- ,,,,,,,,,,
413088,6/1/2017 - 6/30/2017,"$26,525 ", $- ,,,,,,,,,,
415672,6/1/2017 - 6/30/2017,$449 , $- ,,,,,,,,,,
422323,6/1/2017 - 6/30/2017,$42 , $- ,,,,,,,,,,
415694,6/1/2017 - 6/30/2017,"$14,129 ", $- ,,,,,,,,,,
424788,6/1/2017 - 6/30/2017,$10 , $- ,,,,,,,,,,
413029,6/1/2017 - 6/30/2017,"$4,232 ", $- ,,,,,,,,,,
416539,6/1/2017 - 6/30/2017,"$55,095 ", $- ,,,,,,,,,,
412073,6/1/2017 - 6/30/2017,"$43,701 ", $- ,,,,,,,,,,
413711,6/1/2017 - 6/30/2017,$677 , $- ,,,,,,,,,,
416445,6/1/2017 - 6/30/2017,"$6,855 ", $- ,,,,,,,,,,
412752,6/1/2017 - 6/30/2017,"$38,500 ", $- ,,,,,,,,,,
412220,6/1/2017 - 6/30/2017,$45 , $- ,,,,,,,,,,
416199,6/1/2017 - 6/30/2017,"$3,829 ", $- ,,,,,,,,,,
416550,6/1/2017 - 6/30/2017,"$7,783 ", $- ,,,,,,,,,,
417030,6/1/2017 - 6/30/2017,"$6,017 ", $- ,,,,,,,,,,
416155,6/1/2017 - 6/30/2017,$246 , $- ,,,,,,,,,,
416902,6/1/2017 - 6/30/2017,"$14,034 ", $- ,,,,,,,,,,
413467,6/1/2017 - 6/30/2017,"$1,205 ", $- ,,,,,,,,,,
416130,6/1/2017 - 6/30/2017,$76 , $- ,,,,,,,,,,
413038,6/1/2017 - 6/30/2017,$300 , $- ,,,,,,,,,,
412242,6/1/2017 - 6/30/2017,"$10,540 ", $- ,,,,,,,,,,
423681,6/1/2017 - 6/30/2017,"$7,492 ", $- ,,,,,,,,,,
412609,6/1/2017 - 6/30/2017,"$1,000 ", $- ,,,,,,,,,,
412497,6/1/2017 - 6/30/2017,"$2,124 ", $- ,,,,,,,,,,
PRODUCERS PERIOD TOTAL,6/1/2017 - 6/30/2017,"$5,970,304 ", $- ,,,,,,,,,,
413650,7/1/2017 - 7/31/2017,$41 , $- ,,,,,,,,,,
413280,7/1/2017 - 7/31/2017,"$7,035 ", $- ,,,,,,,,,,
416426,7/1/2017 - 7/31/2017,$45 , $- ,,,,,,,,,,
416630,7/1/2017 - 7/31/2017,$40 , $- ,,,,,,,,,,
421839,7/1/2017 - 7/31/2017,"$4,000 ", $- ,,,,,,,,,,
425086,7/1/2017 - 7/31/2017,"$1,438 ", $- ,,,,,,,,,,
412557,7/1/2017 - 7/31/2017,"$29,049 ", $- ,,,,,,,,,,
413293,7/1/2017 - 7/31/2017,"$10,915 ", $- ,,,,,,,,,,
416959,7/1/2017 - 7/31/2017,"$2,152 ", $- ,,,,,,,,,,
417142,7/1/2017 - 7/31/2017,$365 , $- ,,,,,,,,,,
412266,7/1/2017 - 7/31/2017,"$24,054 ", $- ,,,,,,,,,,
412015,7/1/2017 - 7/31/2017,"$35,216 ", $- ,,,,,,,,,,
413288,7/1/2017 - 7/31/2017,"$1,750 ", $- ,,,,,,,,,,
413658,7/1/2017 - 7/31/2017,"$7,895 ", $- ,,,,,,,,,,
412949,7/1/2017 - 7/31/2017,$600 , $- ,,,,,,,,,,
422685,7/1/2017 - 7/31/2017,$0.07 , $- ,,,,,,,,,,
416300,7/1/2017 - 7/31/2017,$345 , $- ,,,,,,,,,,
412735,7/1/2017 - 7/31/2017,"$10,080 ", $- ,,,,,,,,,,
415727,7/1/2017 - 7/31/2017,"$49,056 ", $- ,,,,,,,,,,
416043,7/1/2017 - 7/31/2017,$203 , $- ,,,,,,,,,,
413462,7/1/2017 - 7/31/2017,"$118,254 ", $- ,,,,,,,,,,
412635,7/1/2017 - 7/31/2017,"$20,000 ", $- ,,,,,,,,,,
424484,7/1/2017 - 7/31/2017,"$14,240 ", $- ,,,,,,,,,,
412439,7/1/2017 - 7/31/2017,"$10,278 ", $- ,,,,,,,,,,
412626,7/1/2017 - 7/31/2017,"$21,370 ", $- ,,,,,,,,,,
424966,7/1/2017 - 7/31/2017,"$63,080 ", $- ,,,,,,,,,,
412601,7/1/2017 - 7/31/2017,"$17,666 ", $- ,,,,,,,,,,
417135,7/1/2017 - 7/31/2017,"$2,064 ", $- ,,,,,,,,,,
419691,7/1/2017 - 7/31/2017,"$2,006 ", $- ,,,,,,,,,,
416353,7/1/2017 - 7/31/2017,$442 , $- ,,,,,,,,,,
416622,7/1/2017 - 7/31/2017,$600 , $- ,,,,,,,,,,
413913,7/1/2017 - 7/31/2017,"$9,762 ", $- ,,,,,,,,,,
417631,7/1/2017 - 7/31/2017,$635 , $- ,,,,,,,,,,
425099,7/1/2017 - 7/31/2017,"$11,917 ", $- ,,,,,,,,,,
413622,7/1/2017 - 7/31/2017,"$4,833 ", $- ,,,,,,,,,,
416767,7/1/2017 - 7/31/2017,"$22,372 ", $- ,,,,,,,,,,
417236,7/1/2017 - 7/31/2017,"$2,500 ", $- ,,,,,,,,,,
412357,7/1/2017 - 7/31/2017,"$1,697 ", $- ,,,,,,,,,,
413075,7/1/2017 - 7/31/2017,$300 , $- ,,,,,,,,,,
412969,7/1/2017 - 7/31/2017,"$2,421 ", $- ,,,,,,,,,,
412849,7/1/2017 - 7/31/2017,"$18,323 ", $- ,,,,,,,,,,
416166,7/1/2017 - 7/31/2017,"$64,670 ", $- ,,,,,,,,,,
412149,7/1/2017 - 7/31/2017,"$38,148 ", $- ,,,,,,,,,,
412727,7/1/2017 - 7/31/2017,$446 , $- ,,,,,,,,,,
412375,7/1/2017 - 7/31/2017,"$1,577 ", $- ,,,,,,,,,,
416935,7/1/2017 - 7/31/2017,"$154,566 ", $- ,,,,,,,,,,
412141,7/1/2017 - 7/31/2017,"$21,622 ", $- ,,,,,,,,,,
416089,7/1/2017 - 7/31/2017,"$14,086 ", $- ,,,,,,,,,,
413641,7/1/2017 - 7/31/2017,$13 , $- ,,,,,,,,,,
412902,7/1/2017 - 7/31/2017,$280 , $- ,,,,,,,,,,
412053,7/1/2017 - 7/31/2017,"$44,382 ", $- ,,,,,,,,,,
415931,7/1/2017 - 7/31/2017,"$3,572 ", $- ,,,,,,,,,,
412728,7/1/2017 - 7/31/2017,$807 , $- ,,,,,,,,,,
425081,7/1/2017 - 7/31/2017,"$37,127 ", $- ,,,,,,,,,,
412830,7/1/2017 - 7/31/2017,"$2,775 ", $- ,,,,,,,,,,
412947,7/1/2017 - 7/31/2017,$50 , $- ,,,,,,,,,,
413210,7/1/2017 - 7/31/2017,$330 , $- ,,,,,,,,,,
417316,7/1/2017 - 7/31/2017,$5 , $- ,,,,,,,,,,
413380,7/1/2017 - 7/31/2017,"$14,725 ", $- ,,,,,,,,,,
416908,7/1/2017 - 7/31/2017,"$12,214 ", $- ,,,,,,,,,,
412240,7/1/2017 - 7/31/2017,"$33,136 ", $- ,,,,,,,,,,
415717,7/1/2017 - 7/31/2017,$553 , $- ,,,,,,,,,,
416585,7/1/2017 - 7/31/2017,"$16,189 ", $- ,,,,,,,,,,
415764,7/1/2017 - 7/31/2017,$158 , $- ,,,,,,,,,,
412077,7/1/2017 - 7/31/2017,"$11,123 ", $- ,,,,,,,,,,
412180,7/1/2017 - 7/31/2017,"$2,513 ", $- ,,,,,,,,,,
412349,7/1/2017 - 7/31/2017,"$284,858 ", $- ,,,,,,,,,,
416324,7/1/2017 - 7/31/2017,$200 , $- ,,,,,,,,,,
412964,7/1/2017 - 7/31/2017,"$11,965 ", $- ,,,,,,,,,,
415971,7/1/2017 - 7/31/2017,$760 , $- ,,,,,,,,,,
412858,7/1/2017 - 7/31/2017,$750 , $- ,,,,,,,,,,
412248,7/1/2017 - 7/31/2017,"$1,600 ", $- ,,,,,,,,,,
412622,7/1/2017 - 7/31/2017,"$1,800 ", $- ,,,,,,,,,,
412566,7/1/2017 - 7/31/2017,"$8,168 ", $- ,,,,,,,,,,
414039,7/1/2017 - 7/31/2017,"$8,287 ", $- ,,,,,,,,,,
412901,7/1/2017 - 7/31/2017,"$71,112 ", $- ,,,,,,,,,,
419690,7/1/2017 - 7/31/2017,$250 , $- ,,,,,,,,,,
412627,7/1/2017 - 7/31/2017,"$11,647 ", $- ,,,,,,,,,,
416055,7/1/2017 - 7/31/2017,"$26,714 ", $- ,,,,,,,,,,
412408,7/1/2017 - 7/31/2017,$835 , $- ,,,,,,,,,,
419454,7/1/2017 - 7/31/2017,$637 , $- ,,,,,,,,,,
413089,7/1/2017 - 7/31/2017,"$5,765 ", $- ,,,,,,,,,,
413169,7/1/2017 - 7/31/2017,"$20,824 ", $- ,,,,,,,,,,
416006,7/1/2017 - 7/31/2017,"$2,000 ", $- ,,,,,,,,,,
416502,7/1/2017 - 7/31/2017,"($3,090)", $- ,,,,,,,,,,
414027,7/1/2017 - 7/31/2017,"$7,085 ", $- ,,,,,,,,,,
417482,7/1/2017 - 7/31/2017,"$12,419 ", $- ,,,,,,,,,,
412105,7/1/2017 - 7/31/2017,$4 , $- ,,,,,,,,,,
417095,7/1/2017 - 7/31/2017,"$29,186 ", $- ,,,,,,,,,,
416400,7/1/2017 - 7/31/2017,"$23,310 ", $- ,,,,,,,,,,
412831,7/1/2017 - 7/31/2017,"$6,576 ", $- ,,,,,,,,,,
415881,7/1/2017 - 7/31/2017,"$8,808 ", $- ,,,,,,,,,,
415847,7/1/2017 - 7/31/2017,"$67,954 ", $- ,,,,,,,,,,
413011,7/1/2017 - 7/31/2017,"$23,616 ", $- ,,,,,,,,,,
405661,7/1/2017 - 7/31/2017,"$1,350 ", $- ,,,,,,,,,,
412747,7/1/2017 - 7/31/2017,"$4,692 ", $- ,,,,,,,,,,
412306,7/1/2017 - 7/31/2017,"$3,089 ", $- ,,,,,,,,,,
416103,7/1/2017 - 7/31/2017,"$1,084 ", $- ,,,,,,,,,,
414041,7/1/2017 - 7/31/2017,$0.05 , $- ,,,,,,,,,,
416538,7/1/2017 - 7/31/2017,"$37,508 ", $- ,,,,,,,,,,
413084,7/1/2017 - 7/31/2017,"$73,723 ", $- ,,,,,,,,,,
416527,7/1/2017 - 7/31/2017,"$15,446 ", $- ,,,,,,,,,,
415970,7/1/2017 - 7/31/2017,"$27,457 ", $- ,,,,,,,,,,
416551,7/1/2017 - 7/31/2017,"$12,938 ", $- ,,,,,,,,,,
412442,7/1/2017 - 7/31/2017,"$9,396 ", $- ,,,,,,,,,,
416393,7/1/2017 - 7/31/2017,"$13,236 ", $- ,,,,,,,,,,
417163,7/1/2017 - 7/31/2017,"$62,903 ", $- ,,,,,,,,,,
412781,7/1/2017 - 7/31/2017,"$1,838 ", $- ,,,,,,,,,,
412568,7/1/2017 - 7/31/2017,$680 , $- ,,,,,,,,,,
415869,7/1/2017 - 7/31/2017,"$92,108 ", $- ,,,,,,,,,,
422993,7/1/2017 - 7/31/2017,"$50,660 ", $- ,,,,,,,,,,
416560,7/1/2017 - 7/31/2017,$14 , $- ,,,,,,,,,,
412148,7/1/2017 - 7/31/2017,"$3,183 ", $- ,,,,,,,,,,
414464,7/1/2017 - 7/31/2017,"$45,214 ", $- ,,,,,,,,,,
412384,7/1/2017 - 7/31/2017,"$8,648 ", $- ,,,,,,,,,,
416414,7/1/2017 - 7/31/2017,$166 , $- ,,,,,,,,,,
415969,7/1/2017 - 7/31/2017,"$17,256 ", $- ,,,,,,,,,,
414233,7/1/2017 - 7/31/2017,"$1,900 ", $- ,,,,,,,,,,
414289,7/1/2017 - 7/31/2017,"$119,862 ", $- ,,,,,,,,,,
412263,7/1/2017 - 7/31/2017,"$10,133 ", $- ,,,,,,,,,,
412815,7/1/2017 - 7/31/2017,"$2,925 ", $- ,,,,,,,,,,
416601,7/1/2017 - 7/31/2017,"$16,662 ", $- ,,,,,,,,,,
416804,7/1/2017 - 7/31/2017,$207 , $- ,,,,,,,,,,
415932,7/1/2017 - 7/31/2017,"$1,063 ", $- ,,,,,,,,,,
412072,7/1/2017 - 7/31/2017,"$17,500 ", $- ,,,,,,,,,,
417174,7/1/2017 - 7/31/2017,"$10,754 ", $- ,,,,,,,,,,
416068,7/1/2017 - 7/31/2017,"$3,499 ", $- ,,,,,,,,,,
413858,7/1/2017 - 7/31/2017,"$3,125 ", $- ,,,,,,,,,,
413130,7/1/2017 - 7/31/2017,$64 , $- ,,,,,,,,,,
421103,7/1/2017 - 7/31/2017,"$2,659 ", $- ,,,,,,,,,,
417571,7/1/2017 - 7/31/2017,"$1,061 ", $- ,,,,,,,,,,
412194,7/1/2017 - 7/31/2017,$50 , $- ,,,,,,,,,,
412971,7/1/2017 - 7/31/2017,"$5,788 ", $- ,,,,,,,,,,
412660,7/1/2017 - 7/31/2017,$590 , $- ,,,,,,,,,,
412275,7/1/2017 - 7/31/2017,"$1,070 ", $- ,,,,,,,,,,
413712,7/1/2017 - 7/31/2017,"$96,683 ", $- ,,,,,,,,,,
413165,7/1/2017 - 7/31/2017,"$3,533 ", $- ,,,,,,,,,,
423101,7/1/2017 - 7/31/2017,"$3,420 ", $- ,,,,,,,,,,
416690,7/1/2017 - 7/31/2017,"$22,991 ", $- ,,,,,,,,,,
415986,7/1/2017 - 7/31/2017,$155 , $- ,,,,,,,,,,
415997,7/1/2017 - 7/31/2017,"$10,035 ", $- ,,,,,,,,,,
412135,7/1/2017 - 7/31/2017,"$20,515 ", $- ,,,,,,,,,,
412593,7/1/2017 - 7/31/2017,"$9,000 ", $- ,,,,,,,,,,
417361,7/1/2017 - 7/31/2017,$2 , $- ,,,,,,,,,,
415709,7/1/2017 - 7/31/2017,"$1,833 ", $- ,,,,,,,,,,
416107,7/1/2017 - 7/31/2017,"$30,000 ", $- ,,,,,,,,,,
416093,7/1/2017 - 7/31/2017,$127 , $- ,,,,,,,,,,
423297,7/1/2017 - 7/31/2017,$15 , $- ,,,,,,,,,,
417103,7/1/2017 - 7/31/2017,"$14,643 ", $- ,,,,,,,,,,
417303,7/1/2017 - 7/31/2017,"$15,048 ", $- ,,,,,,,,,,
413099,7/1/2017 - 7/31/2017,"$12,302 ", $- ,,,,,,,,,,
417216,7/1/2017 - 7/31/2017,"$25,653 ", $- ,,,,,,,,,,
413706,7/1/2017 - 7/31/2017,"$10,167 ", $- ,,,,,,,,,,
412672,7/1/2017 - 7/31/2017,"$5,258 ", $- ,,,,,,,,,,
412496,7/1/2017 - 7/31/2017,"$6,221 ", $- ,,,,,,,,,,
421941,7/1/2017 - 7/31/2017,$104 , $- ,,,,,,,,,,
412860,7/1/2017 - 7/31/2017,"$5,353 ", $- ,,,,,,,,,,
416858,7/1/2017 - 7/31/2017,$488 , $- ,,,,,,,,,,
412436,7/1/2017 - 7/31/2017,"$9,490 ", $- ,,,,,,,,,,
412259,7/1/2017 - 7/31/2017,$0.02 , $- ,,,,,,,,,,
412295,7/1/2017 - 7/31/2017,$365 , $- ,,,,,,,,,,
412529,7/1/2017 - 7/31/2017,"$3,424 ", $- ,,,,,,,,,,
416191,7/1/2017 - 7/31/2017,"$17,333 ", $- ,,,,,,,,,,
413287,7/1/2017 - 7/31/2017,"$2,551 ", $- ,,,,,,,,,,
413950,7/1/2017 - 7/31/2017,"$5,551 ", $- ,,,,,,,,,,
424285,7/1/2017 - 7/31/2017,$434 , $- ,,,,,,,,,,
424223,7/1/2017 - 7/31/2017,"$5,619 ", $- ,,,,,,,,,,
415885,7/1/2017 - 7/31/2017,"$12,943 ", $- ,,,,,,,,,,
417147,7/1/2017 - 7/31/2017,$500 , $- ,,,,,,,,,,
416272,7/1/2017 - 7/31/2017,"$5,144 ", $- ,,,,,,,,,,
414136,7/1/2017 - 7/31/2017,"$2,021 ", $- ,,,,,,,,,,
416163,7/1/2017 - 7/31/2017,$470 , $- ,,,,,,,,,,
416614,7/1/2017 - 7/31/2017,$4 , $- ,,,,,,,,,,
412316,7/1/2017 - 7/31/2017,$312 , $- ,,,,,,,,,,
416746,7/1/2017 - 7/31/2017,"$108,676 ", $- ,,,,,,,,,,
417401,7/1/2017 - 7/31/2017,$288 , $- ,,,,,,,,,,
412893,7/1/2017 - 7/31/2017,"$3,038 ", $- ,,,,,,,,,,
417118,7/1/2017 - 7/31/2017,"$70,664 ", $- ,,,,,,,,,,
416133,7/1/2017 - 7/31/2017,$1 , $- ,,,,,,,,,,
412985,7/1/2017 - 7/31/2017,"$11,781 ", $- ,,,,,,,,,,
412697,7/1/2017 - 7/31/2017,"$47,793 ", $- ,,,,,,,,,,
414033,7/1/2017 - 7/31/2017,"$6,514 ", $- ,,,,,,,,,,
412760,7/1/2017 - 7/31/2017,"$20,259 ", $- ,,,,,,,,,,
415790,7/1/2017 - 7/31/2017,"$3,697 ", $- ,,,,,,,,,,
416277,7/1/2017 - 7/31/2017,"$6,850 ", $- ,,,,,,,,,,
416813,7/1/2017 - 7/31/2017,"$17,873 ", $- ,,,,,,,,,,
413917,7/1/2017 - 7/31/2017,"$5,000 ", $- ,,,,,,,,,,
412305,7/1/2017 - 7/31/2017,"$7,203 ", $- ,,,,,,,,,,
412279,7/1/2017 - 7/31/2017,"$1,112 ", $- ,,,,,,,,,,
416584,7/1/2017 - 7/31/2017,"$1,000 ", $- ,,,,,,,,,,
413652,7/1/2017 - 7/31/2017,"$6,810 ", $- ,,,,,,,,,,
417276,7/1/2017 - 7/31/2017,$126 , $- ,,,,,,,,,,
413073,7/1/2017 - 7/31/2017,"$6,310 ", $- ,,,,,,,,,,
419959,7/1/2017 - 7/31/2017,"$4,357 ", $- ,,,,,,,,,,
412074,7/1/2017 - 7/31/2017,$22 , $- ,,,,,,,,,,
423204,7/1/2017 - 7/31/2017,$662 , $- ,,,,,,,,,,
414197,7/1/2017 - 7/31/2017,"$5,720 ", $- ,,,,,,,,,,
414287,7/1/2017 - 7/31/2017,"$15,694 ", $- ,,,,,,,,,,
412372,7/1/2017 - 7/31/2017,$679 , $- ,,,,,,,,,,
424172,7/1/2017 - 7/31/2017,"$2,000 ", $- ,,,,,,,,,,
414145,7/1/2017 - 7/31/2017,$434 , $- ,,,,,,,,,,
417183,7/1/2017 - 7/31/2017,"$23,141 ", $- ,,,,,,,,,,
417010,7/1/2017 - 7/31/2017,$120 , $- ,,,,,,,,,,
416693,7/1/2017 - 7/31/2017,"$9,126 ", $- ,,,,,,,,,,
413085,7/1/2017 - 7/31/2017,"$15,007 ", $- ,,,,,,,,,,
415692,7/1/2017 - 7/31/2017,"$5,151 ", $- ,,,,,,,,,,
416996,7/1/2017 - 7/31/2017,"$44,374 ", $- ,,,,,,,,,,
412792,7/1/2017 - 7/31/2017,$182 , $- ,,,,,,,,,,
415719,7/1/2017 - 7/31/2017,$906 , $- ,,,,,,,,,,
417388,7/1/2017 - 7/31/2017,"$44,486 ", $- ,,,,,,,,,,
423357,7/1/2017 - 7/31/2017,"$4,151 ", $- ,,,,,,,,,,
417295,7/1/2017 - 7/31/2017,"$2,087 ", $- ,,,,,,,,,,
414040,7/1/2017 - 7/31/2017,"$30,530 ", $- ,,,,,,,,,,
416706,7/1/2017 - 7/31/2017,"$188,457 ", $- ,,,,,,,,,,
413102,7/1/2017 - 7/31/2017,"$5,802 ", $- ,,,,,,,,,,
412973,7/1/2017 - 7/31/2017,"$14,397 ", $- ,,,,,,,,,,
417300,7/1/2017 - 7/31/2017,"$28,040 ", $- ,,,,,,,,,,
412596,7/1/2017 - 7/31/2017,$461 , $- ,,,,,,,,,,
412233,7/1/2017 - 7/31/2017,"$3,364 ", $- ,,,,,,,,,,
412559,7/1/2017 - 7/31/2017,$543 , $- ,,,,,,,,,,
413196,7/1/2017 - 7/31/2017,"$8,277 ", $- ,,,,,,,,,,
417311,7/1/2017 - 7/31/2017,"$2,447 ", $- ,,,,,,,,,,
416751,7/1/2017 - 7/31/2017,"$58,902 ", $- ,,,,,,,,,,
414143,7/1/2017 - 7/31/2017,$397 , $- ,,,,,,,,,,
417252,7/1/2017 - 7/31/2017,"$13,547 ", $- ,,,,,,,,,,
416052,7/1/2017 - 7/31/2017,"$1,272 ", $- ,,,,,,,,,,
417150,7/1/2017 - 7/31/2017,$1 , $- ,,,,,,,,,,
412618,7/1/2017 - 7/31/2017,"$26,672 ", $- ,,,,,,,,,,
