PRODUCERS,,,,,Summary to Date,,,,,,,,
License Number,Reporting Period, Total Sales, Excise Tax Due ,,,Sales,,,,Excise Tax Due,,,
412037,8/1/2014 - 8/31/2014,$6 ,$1 ,,8/1/2016 - 8/31/2016,"$4,010,004 ","$38,018,026 ","$68,168,428 ","$110,196,458 ",($509),($416),"$25,222,319 ","$25,221,393 "
412402,8/1/2014 - 8/31/2014,$11 ,$3 ,,9/1/2016 - 9/30/2016,"$4,404,583 ","$39,031,608 ","$70,902,933 ","$114,339,124 ","($1,749)",($400),"$26,234,085 ","$26,231,936 "
412445,8/1/2014 - 8/31/2014,"$26,895 ","$6,724 ",,10/1/2016 - 10/31/2016,"$8,806,448 ","$37,186,108 ","$69,242,491 ","$115,235,047 ", $- ,($549),"$25,619,722 ","$25,619,172 "
412942,8/1/2014 - 8/31/2014,"$8,529 ","$2,132 ",,11/1/2016 - 11/30/2016,"$7,785,840 ","$36,859,669 ","$67,194,172 ","$111,839,681 ", $- ,($592),"$24,861,844 ","$24,861,252 "
412194,8/1/2014 - 8/31/2014,"$2,870 ",$718 ,,12/1/2016 - 12/31/2016,"$6,094,312 ","$32,987,410 ","$73,130,207 ","$112,211,928 ", $- ,($478),"$27,058,176 ","$27,057,699 "
416840,8/1/2014 - 8/31/2014,"$18,400 ","$4,600 ",,1/1/2017 - 1/31/2017,"$5,932,438 ","$40,019,426 ","$67,745,850 ","$113,697,714 ", $- ,($497),"$25,065,964 ","$25,065,468 "
412053,8/1/2014 - 8/31/2014,$40 ,$10 ,,2/1/2017 - 2/28/2017,"$4,075,355 ","$34,700,912 ","$67,517,148 ","$106,293,415 ", $- ,($180),"$24,981,345 ","$24,981,165 "
PRODUCERS PERIOD TOTAL,8/1/2014 - 8/31/2014,"$146,839 ","$36,710 ",,3/1/2017 - 3/31/2017,"$6,028,029 ","$42,313,316 ","$76,467,977 ","$124,809,322 ", $- ,($84),"$28,293,152 ","$28,293,068 "
412079,9/1/2014 - 9/30/2014,"$43,854 ","$10,963 ",,4/1/2017 - 4/30/2017,"$5,849,000 ","$39,289,256 ","$74,190,687 ","$119,328,942 ", $- ,($86),"$27,450,554 ","$27,450,468 "
412214,9/1/2014 - 9/30/2014,$988 ,$247 ,,5/1/2017 - 5/31/2017,"$5,338,476 ","$39,629,151 ","$74,825,965 ","$119,793,592 ", $- ,($191),"$27,685,607 ","$27,685,416 "
415762,9/1/2014 - 9/30/2014,"$4,200 ","$1,050 ",,6/1/2017 - 6/30/2017,"$5,970,304 ","$42,310,257 ","$77,309,051 ","$125,589,612 ", $- ,($136),"$28,604,349 ","$28,604,213 "
412566,9/1/2014 - 9/30/2014,$720 ,$180 ,,7/1/2017 - 7/31/2017,"$5,786,051 ","$40,336,451 ","$80,762,210 ","$126,884,712 ", $- ,($90),"$29,882,018 ","$29,881,928 "
412118,9/1/2014 - 9/30/2014,$105 ,$26 ,,8/1/2017 - 8/31/2017,"$6,837,937 ","$43,546,972 ","$83,198,862 ","$133,583,772 ", $- ,($132),"$30,783,579 ","$30,783,447 "
412527,9/1/2014 - 9/30/2014,"$1,264 ",$316 ,,9/1/2017 - 9/30/2017,"$6,908,539 ","$42,313,177 ","$82,328,533 ","$131,550,249 ", $- , $- ,"$30,461,557 ","$30,461,557 "
412901,9/1/2014 - 9/30/2014,$0.28 ,$0.07 ,,10/1/2017 - 10/31/2017,"$12,698,647 ","$49,648,615 ","$79,698,369 ","$142,045,630 ", $- ,($118),"$29,488,396 ","$29,488,279 "
414140,9/1/2014 - 9/30/2014,"$2,445 ",$611 ,,Grand Total to Date,"$135,758,356 ","$957,618,472 ","$1,858,502,995 ","$2,951,879,823 ","$1,469,579 ","$18,446,391 ","$666,090,380 ","$686,006,350 "
412084,9/1/2014 - 9/30/2014,"$78,149 ","$19,537 ",,,,,,,,,,
412624,9/1/2014 - 9/30/2014,$240 ,$60 ,,,,,,,,,,
412681,9/1/2014 - 9/30/2014,"$2,000 ",$500 ,,,,,,,,,,
412119,9/1/2014 - 9/30/2014,"$16,466 ","$4,117 ",,,,,,,,,,
412154,9/1/2014 - 9/30/2014,"$2,281 ",$570 ,,,,,,,,,,
412670,9/1/2014 - 9/30/2014,$40 ,$10 ,,,,,,,,,,
412284,9/1/2014 - 9/30/2014,"$2,723 ",$681 ,,,,,,,,,,
412618,9/1/2014 - 9/30/2014,"$23,493 ","$5,873 ",,,,,,,,,,
412135,9/1/2014 - 9/30/2014,$0.18 ,$0.05 ,,,,,,,,,,
413205,9/1/2014 - 9/30/2014,$0.09 ,$0.02 ,,,,,,,,,,
412994,9/1/2014 - 9/30/2014,"$9,260 ","$2,315 ",,,,,,,,,,
412107,9/1/2014 - 9/30/2014,"$3,154 ",$788 ,,,,,,,,,,
412147,9/1/2014 - 9/30/2014,"$30,650 ","$7,663 ",,,,,,,,,,
412295,9/1/2014 - 9/30/2014,"$4,000 ","$1,000 ",,,,,,,,,,
412445,9/1/2014 - 9/30/2014,"$9,830 ","$2,457 ",,,,,,,,,,
412016,9/1/2014 - 9/30/2014,$250 ,$63 ,,,,,,,,,,
412762,9/1/2014 - 9/30/2014,$10 ,$3 ,,,,,,,,,,
412942,9/1/2014 - 9/30/2014,"$11,090 ","$2,773 ",,,,,,,,,,
412784,9/1/2014 - 9/30/2014,$1 ,$0.25 ,,,,,,,,,,
412194,9/1/2014 - 9/30/2014,$150 ,$38 ,,,,,,,,,,
412337,9/1/2014 - 9/30/2014,"$3,236 ",$809 ,,,,,,,,,,
412286,9/1/2014 - 9/30/2014,"$6,043 ","$1,511 ",,,,,,,,,,
416387,9/1/2014 - 9/30/2014,$0.11 ,$0.03 ,,,,,,,,,,
412311,9/1/2014 - 9/30/2014,"$2,948 ",$737 ,,,,,,,,,,
413038,9/1/2014 - 9/30/2014,"$2,500 ",$625 ,,,,,,,,,,
PRODUCERS PERIOD TOTAL,9/1/2014 - 9/30/2014,"$262,090 ","$65,522 ",,,,,,,,,,
416562,10/1/2014 - 10/31/2014,"$6,689 ","$1,672 ",,,,,,,,,,
412285,10/1/2014 - 10/31/2014,"$2,160 ",$540 ,,,,,,,,,,
413134,10/1/2014 - 10/31/2014,"$95,701 ","$23,925 ",,,,,,,,,,
415783,10/1/2014 - 10/31/2014,"$28,291 ","$7,073 ",,,,,,,,,,
412079,10/1/2014 - 10/31/2014,"$75,132 ","$18,783 ",,,,,,,,,,
412214,10/1/2014 - 10/31/2014,"$6,720 ","$1,680 ",,,,,,,,,,
412566,10/1/2014 - 10/31/2014,$736 ,$184 ,,,,,,,,,,
413450,10/1/2014 - 10/31/2014,"$6,000 ","$1,500 ",,,,,,,,,,
414271,10/1/2014 - 10/31/2014,"$1,560 ",$390 ,,,,,,,,,,
413864,10/1/2014 - 10/31/2014,$935 ,$234 ,,,,,,,,,,
416548,10/1/2014 - 10/31/2014,"$1,000 ",$250 ,,,,,,,,,,
412084,10/1/2014 - 10/31/2014,"$14,395 ","$3,599 ",,,,,,,,,,
412815,10/1/2014 - 10/31/2014,"$4,100 ","$1,025 ",,,,,,,,,,
417335,10/1/2014 - 10/31/2014,$0.02 ,$0.01 ,,,,,,,,,,
412044,10/1/2014 - 10/31/2014,"$3,500 ",$875 ,,,,,,,,,,
412069,10/1/2014 - 10/31/2014,"$2,997 ",$749 ,,,,,,,,,,
412688,10/1/2014 - 10/31/2014,"$4,664 ","$1,166 ",,,,,,,,,,
412681,10/1/2014 - 10/31/2014,"$3,499 ",$875 ,,,,,,,,,,
412106,10/1/2014 - 10/31/2014,"$1,749 ",$437 ,,,,,,,,,,
413076,10/1/2014 - 10/31/2014,"$1,275 ",$319 ,,,,,,,,,,
412439,10/1/2014 - 10/31/2014,"$1,325 ",$331 ,,,,,,,,,,
412154,10/1/2014 - 10/31/2014,"$5,581 ","$1,395 ",,,,,,,,,,
412670,10/1/2014 - 10/31/2014,"$8,583 ","$2,146 ",,,,,,,,,,
412618,10/1/2014 - 10/31/2014,"$18,427 ","$4,607 ",,,,,,,,,,
412135,10/1/2014 - 10/31/2014,"$24,072 ","$6,018 ",,,,,,,,,,
412994,10/1/2014 - 10/31/2014,"$5,884 ","$1,471 ",,,,,,,,,,
412107,10/1/2014 - 10/31/2014,"$1,406 ",$351 ,,,,,,,,,,
412147,10/1/2014 - 10/31/2014,$2 ,$0.54 ,,,,,,,,,,
412943,10/1/2014 - 10/31/2014,"$25,518 ","$6,379 ",,,,,,,,,,
412384,10/1/2014 - 10/31/2014,"$8,542 ","$2,136 ",,,,,,,,,,
412223,10/1/2014 - 10/31/2014,"$126,474 ","$31,619 ",,,,,,,,,,
412240,10/1/2014 - 10/31/2014,$6 ,$2 ,,,,,,,,,,
413179,10/1/2014 - 10/31/2014,$948 ,$237 ,,,,,,,,,,
412295,10/1/2014 - 10/31/2014,"$3,500 ",$875 ,,,,,,,,,,
412402,10/1/2014 - 10/31/2014,$0.93 ,$0.23 ,,,,,,,,,,
412601,10/1/2014 - 10/31/2014,"$6,159 ","$1,540 ",,,,,,,,,,
412445,10/1/2014 - 10/31/2014,"$3,227 ",$807 ,,,,,,,,,,
412273,10/1/2014 - 10/31/2014,"$3,200 ",$800 ,,,,,,,,,,
412762,10/1/2014 - 10/31/2014,"$1,427 ",$357 ,,,,,,,,,,
412217,10/1/2014 - 10/31/2014,"$1,848 ",$462 ,,,,,,,,,,
416231,10/1/2014 - 10/31/2014,"$9,589 ","$2,397 ",,,,,,,,,,
414041,10/1/2014 - 10/31/2014,"$5,000 ","$1,250 ",,,,,,,,,,
412942,10/1/2014 - 10/31/2014,"$17,823 ","$4,456 ",,,,,,,,,,
416606,10/1/2014 - 10/31/2014,$0.12 ,$0.03 ,,,,,,,,,,
412194,10/1/2014 - 10/31/2014,"$101,000 ","$25,250 ",,,,,,,,,,
412337,10/1/2014 - 10/31/2014,"$8,407 ","$2,102 ",,,,,,,,,,
416089,10/1/2014 - 10/31/2014,$149 ,$37 ,,,,,,,,,,
416840,10/1/2014 - 10/31/2014,$9 ,$2 ,,,,,,,,,,
412286,10/1/2014 - 10/31/2014,"$69,460 ","$17,365 ",,,,,,,,,,
412311,10/1/2014 - 10/31/2014,"$3,405 ",$851 ,,,,,,,,,,
PRODUCERS PERIOD TOTAL,10/1/2014 - 10/31/2014,"$722,075 ","$180,519 ",,,,,,,,,,
412223,11/1/2014 - 11/30/2014,"$132,656 ","$33,164 ",,,,,,,,,,
412084,11/1/2014 - 11/30/2014,"$46,136 ","$11,534 ",,,,,,,,,,
412107,11/1/2014 - 11/30/2014,"$4,216 ","$1,054 ",,,,,,,,,,
412069,11/1/2014 - 11/30/2014,"$2,979 ",$745 ,,,,,,,,,,
412688,11/1/2014 - 11/30/2014,"$7,011 ","$1,753 ",,,,,,,,,,
412384,11/1/2014 - 11/30/2014,"$20,946 ","$5,237 ",,,,,,,,,,
412135,11/1/2014 - 11/30/2014,"$27,417 ","$6,854 ",,,,,,,,,,
412053,11/1/2014 - 11/30/2014,$20 ,$5 ,,,,,,,,,,
412445,11/1/2014 - 11/30/2014,"$1,784 ",$446 ,,,,,,,,,,
412194,11/1/2014 - 11/30/2014,"$320,449 ","$80,112 ",,,,,,,,,,
412618,11/1/2014 - 11/30/2014,"$9,214 ","$2,303 ",,,,,,,,,,
412943,11/1/2014 - 11/30/2014,"$15,465 ","$3,866 ",,,,,,,,,,
412078,11/1/2014 - 11/30/2014,"$52,696 ","$13,174 ",,,,,,,,,,
412337,11/1/2014 - 11/30/2014,$800 ,$200 ,,,,,,,,,,
413205,11/1/2014 - 11/30/2014,$0.06 ,$0.02 ,,,,,,,,,,
412593,11/1/2014 - 11/30/2014,$47 ,$12 ,,,,,,,,,,
412147,11/1/2014 - 11/30/2014,$6 ,$1 ,,,,,,,,,,
413913,11/1/2014 - 11/30/2014,"$5,990 ","$1,498 ",,,,,,,,,,
412762,11/1/2014 - 11/30/2014,$910 ,$228 ,,,,,,,,,,
412016,11/1/2014 - 11/30/2014,"$12,191 ","$3,048 ",,,,,,,,,,
412273,11/1/2014 - 11/30/2014,$900 ,$225 ,,,,,,,,,,
412284,11/1/2014 - 11/30/2014,$180 ,$45 ,,,,,,,,,,
412240,11/1/2014 - 11/30/2014,"$42,945 ","$10,736 ",,,,,,,,,,
416840,11/1/2014 - 11/30/2014,$13 ,$3 ,,,,,,,,,,
412409,11/1/2014 - 11/30/2014,"$11,485 ","$2,871 ",,,,,,,,,,
412497,11/1/2014 - 11/30/2014,$0.03 ,$0.01 ,,,,,,,,,,
412402,11/1/2014 - 11/30/2014,$2 ,$1 ,,,,,,,,,,
415783,11/1/2014 - 11/30/2014,$200 ,$50 ,,,,,,,,,,
412653,11/1/2014 - 11/30/2014,"$30,822 ","$7,706 ",,,,,,,,,,
413450,11/1/2014 - 11/30/2014,"$277,528 ","$69,382 ",,,,,,,,,,
412169,11/1/2014 - 11/30/2014,$476 ,$119 ,,,,,,,,,,
413134,11/1/2014 - 11/30/2014,"$46,432 ","$11,608 ",,,,,,,,,,
417156,11/1/2014 - 11/30/2014,"$9,396 ","$2,349 ",,,,,,,,,,
412275,11/1/2014 - 11/30/2014,"$30,038 ","$7,509 ",,,,,,,,,,
415695,11/1/2014 - 11/30/2014,"$1,150 ",$288 ,,,,,,,,,,
415924,11/1/2014 - 11/30/2014,"$19,497 ","$4,874 ",,,,,,,,,,
412994,11/1/2014 - 11/30/2014,"$3,348 ",$837 ,,,,,,,,,,
416751,11/1/2014 - 11/30/2014,"$264,700 ","$66,175 ",,,,,,,,,,
412080,11/1/2014 - 11/30/2014,"$6,948 ","$1,737 ",,,,,,,,,,
412286,11/1/2014 - 11/30/2014,"$139,292 ","$34,823 ",,,,,,,,,,
414271,11/1/2014 - 11/30/2014,"$2,400 ",$600 ,,,,,,,,,,
413941,11/1/2014 - 11/30/2014,$699 ,$175 ,,,,,,,,,,
412596,11/1/2014 - 11/30/2014,$226 ,$56 ,,,,,,,,,,
412670,11/1/2014 - 11/30/2014,"$26,223 ","$6,556 ",,,,,,,,,,
412109,11/1/2014 - 11/30/2014,$800 ,$200 ,,,,,,,,,,
412242,11/1/2014 - 11/30/2014,"$5,529 ","$1,382 ",,,,,,,,,,
416746,11/1/2014 - 11/30/2014,"$304,321 ","$76,080 ",,,,,,,,,,
416231,11/1/2014 - 11/30/2014,"$3,750 ",$938 ,,,,,,,,,,
413719,11/1/2014 - 11/30/2014,$0.94 ,$0.24 ,,,,,,,,,,
413077,11/1/2014 - 11/30/2014,$1.00 ,$0.25 ,,,,,,,,,,
413864,11/1/2014 - 11/30/2014,$150 ,$38 ,,,,,,,,,,
416562,11/1/2014 - 11/30/2014,"$1,516 ",$379 ,,,,,,,,,,
