scrape,wmsite,dateaccess,dispensaryname,address,city,zipcode
154,"https://weedmaps.com/dispensaries/euphorium-2-6","2016-11-25","Euphorium-Woodinville","21127 WA-9 SE, Woodinville, WA 98072","Woodinville","98072"
184,"https://weedmaps.com/dispensaries/fweedom-cannabis-mount-vernon","2017-05-27","Fweedom Cannabis-Mount Vernon- NOW OPEN ","17869 State Route 536, Mount Vernon, WA 98273","Mount Vernon","98273"
215,"https://weedmaps.com/dispensaries/fweedom-cannabis-mount-vernon","2017-11-25","Fweedom Cannabis-Mount Vernon","17869 State Route 536, Mount Vernon, WA 98273","Mount Vernon","98273"
227,"https://weedmaps.com/dispensaries/fweedom-cannabis-mount-vernon","2018-05-26","Fweedom Cannabis-Mount Vernon","17869 State Route 536, Mount Vernon, WA 98273","Mount Vernon","98273"
242,"https://weedmaps.com/dispensaries/fweedom-cannabis-mount-vernon","2018-12-16","Fweedom Cannabis-Mount Vernon","17869 State Route 536, Mount Vernon, WA 98273","Mount Vernon","98273"
245,"https://weedmaps.com/dispensaries/hypeherbally-holistic-health","2019-06-23","HypeHerbally","14702 HWY 99,Lynnwood,Washington 98087","Lynnwood","98087"
242,"https://weedmaps.com/dispensaries/kush-21-pullman","2018-12-16","Kush21-Pullman - Coming Soon","1212 N Grand Pullman, Pullman, WA 99163","Pullman","99163"
245,"https://weedmaps.com/dispensaries/kush-21-pullman","2019-06-23","Kush21 - Pullman","1212 N Grand Pullman,Pullman,Washington 99163","Pullman","99163"
242,"https://weedmaps.com/dispensaries/kush21-vashon","2018-12-16","Kush21- Vashon","19001 Vashon HWY SW, Vashon, WA 98070","Vashon","98070"
245,"https://weedmaps.com/dispensaries/kush21-vashon","2019-06-23","Kush21 - Vashon","19001 Vashon HWY SW,Vashon,Washington 98070","Vashon","98070"
154,"https://weedmaps.com/dispensaries/seattle-cannabis-company","2016-11-25","Seattle Cannabis Company","3230 1st Ave South, Seattle, WA 98134","Seattle","98134"
184,"https://weedmaps.com/dispensaries/seattle-cannabis-company","2017-05-27","Seattle Cannabis Company","3230 1st Ave South, Seattle, WA 98134","Seattle","98134"
154,"https://weedmaps.com/dispensaries/the-cannabis-corner","2016-11-25","The Cannabis Corner","420 Evergreen Drive, North Bonneville, WA 98639","North Bonneville","98639"
255,"https://weedmaps.com/dispensaries/wm-demo-dispensary","2019-12-21","WM Demo Dispensary","Malmalling,Malmalling,WA 6556","Malmalling","6556"
257,"https://weedmaps.com/dispensaries/wm-demo-dispensary","2020-05-04","WM Demo Dispensary","Malmalling,Malmalling,WA 6556","Malmalling","6556"
