"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US53001","Adams County, Washington","5733","124","74.3","3.5","0.6","0.8","0.9","0.7","1.2","0.8","0.0","0.6","20.2","3.2","2.8","1.1","50.4","2.1","47.2","1.9","3.9","1.6","41.0","2.5","34.9","2.4","20.2","1.2","4431","218","54.1","3.6","45.9","3.6","74.9","4.1","17.2","3.1","7.8","2.5","1302","168","39.0","7.5","32.3","7.4","6.7","3.4","61.0","7.5","49.8","8.1","11.2","5.2","37.7","(X)","37.4","(X)","33.3","(X)","47554","3932","52057","4593","-","**","20714","1917","-","**","-","**","37911","8721","87500","62302","42661","6199","53872","5810","21875","10641","48009","5751","62131","5858","35432","6485","53020","4961","45566","6426","62826","6682","59842","5656","24732","8324","38984","14208","27073","2629","22768","3198","22054","1943","71250","62220","29429","4280","28214","3491","66000","52254","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53003","Asotin County, Washington","9297","184","96.4","0.8","0.1","0.1","0.4","0.3","0.6","0.2","0.0","0.1","0.5","0.4","2.0","0.6","2.2","0.9","94.8","1.1","4.1","1.2","24.7","1.7","38.5","1.6","32.8","1.4","5775","264","38.6","2.5","61.4","2.5","76.6","3.5","18.4","3.4","5.0","1.7","3522","277","57.9","4.3","47.1","4.0","10.8","2.9","42.1","4.3","34.8","4.5","7.3","2.6","28.1","(X)","28.1","(X)","27.2","(X)","45550","3145","45851","3090","-","**","-","**","101417","11799","-","**","-","**","31471","21089","27154","22311","46053","3066","27250","8475","51050","6996","54351","5229","37760","4946","58414","4217","48079","4181","65500","5175","69861","4794","34126","6229","44018","9001","24765","2625","21389","5223","17318","3057","36951","7145","30615","5058","29485","4372","38922","34859","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53005","Benton County, Washington","68418","633","85.3","0.9","1.1","0.3","1.0","0.2","2.3","0.3","0.1","0.1","7.6","0.8","2.7","0.5","14.2","0.6","79.3","0.7","4.6","0.5","33.8","0.6","38.6","0.7","23.1","0.5","47260","755","45.7","1.2","54.3","1.2","77.6","1.5","15.9","1.2","6.5","0.8","21158","825","52.9","2.2","46.7","2.2","6.2","0.9","47.1","2.2","37.3","2.3","9.8","1.6","24.4","(X)","24.2","(X)","23.4","(X)","61147","1232","63203","1319","65274","22178","45463","9958","77679","14087","49545","41705","40771","2826","55795","17829","40714","2611","64729","1536","25813","3317","61788","2126","82181","2891","46234","2054","72482","2121","62920","2859","80538","3149","85888","2240","30673","2870","53467","7828","37167","2003","28818","2327","26314","1647","56498","6036","48516","4292","43291","4095","65938","6604","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27200","579","94.7","1.0","0.2","0.2","0.7","0.5","0.6","0.2","0.0","0.1","2.1","0.7","1.7","0.6","17.7","1.1","80.1","1.0","2.8","0.8","29.7","1.4","37.6","1.2","29.9","1.1","18219","622","41.3","2.1","58.7","2.1","78.9","2.6","13.4","2.2","7.6","1.4","8981","653","55.5","3.7","48.1","3.7","7.3","2.0","44.5","3.7","37.5","3.4","7.0","2.5","44.2","(X)","42.9","(X)","44.4","(X)","51845","2267","51725","2358","-","**","47143","18273","76250","54058","-","**","52692","7632","62702","36652","42021","2000","54772","2871","31433","15684","55910","3651","62186","3519","39434","1943","62428","3151","58908","3864","65889","2976","71021","4167","30606","3506","42372","5334","30141","3789","23720","3611","21667","2347","49821","9656","35734","5130","30942","2616","66146","14396","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","31438","452","91.3","0.7","0.8","0.3","3.7","0.4","1.2","0.3","0.0","0.1","0.5","0.2","2.3","0.5","3.6","0.6","88.3","0.9","3.0","0.6","21.5","0.9","36.2","0.9","39.4","0.8","18888","536","30.6","1.4","69.4","1.4","78.3","1.9","16.0","1.5","5.7","1.1","12550","531","51.5","2.2","44.1","2.1","7.4","1.5","48.5","2.2","38.0","2.5","10.5","1.9","31.8","(X)","31.1","(X)","31.5","(X)","47180","1585","48500","1660","27917","20894","31483","5932","39893","20643","48854","3946","29977","2091","42981","8349","35625","4881","49161","1572","30903","10619","46642","2479","54680","3252","42678","2439","59683","2051","47432","5969","64436","3023","69335","2088","31081","2445","35217","8105","29004","1411","24723","1508","22685","1478","45139","6948","33744","3052","29776","1711","50396","8812","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","164354","721","88.7","0.3","1.8","0.1","0.5","0.1","3.7","0.2","0.6","0.1","2.3","0.2","2.4","0.2","5.8","0.2","85.6","0.3","3.1","0.2","33.4","0.4","40.5","0.5","22.9","0.4","114774","1128","45.3","0.7","54.7","0.7","77.4","0.8","15.4","0.7","7.2","0.5","49580","1063","52.9","1.2","43.9","1.2","9.0","0.8","47.1","1.2","35.0","1.3","12.0","0.9","25.2","(X)","25.2","(X)","23.3","(X)","62879","1129","64361","1193","43231","7675","48125","13436","73577","6062","57690","18962","42913","3896","55644","3475","44578","2793","65157","1137","36806","3485","65215","2028","75383","1767","46082","943","73448","1306","70773","1694","75930","1796","83966","1356","37924","2524","51554","1732","39040","1124","32690","1190","28577","1513","55598","3194","47324","2145","41232","2084","69839","4479","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53013","Columbia County, Washington","1689","120","95.9","2.0","0.2","0.5","0.6","0.7","0.2","0.2","0.0","1.9","0.9","0.7","2.2","1.6","2.4","1.1","95.0","2.2","3.5","2.1","18.3","2.4","36.9","3.2","41.3","3.5","1061","92","32.6","5.1","67.4","5.1","81.4","5.0","14.3","4.2","4.2","2.7","628","97","56.7","7.7","47.0","8.5","9.7","5.6","43.3","7.7","35.5","7.7","7.8","5.5","25.9","(X)","27.6","(X)","20.1","(X)","42083","6082","42311","6087","-","**","29167","17007","-","**","-","**","-","**","-","**","-","**","42311","6112","36050","14244","45813","16721","49219","7562","37331","5203","53229","10985","45000","13745","64688","18341","63409","15031","36750","18291","38125","31886","28140","6622","19269","2717","18875","1623","-","**","31042","2978","29816","2256","36182","620","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","39671","505","93.0","0.6","0.5","0.2","1.0","0.3","1.0","0.3","0.1","0.1","1.0","0.3","3.3","0.6","4.8","0.5","89.6","0.7","3.4","0.5","26.9","0.9","40.5","0.9","29.1","0.7","26092","644","39.1","1.6","60.9","1.6","76.0","1.7","17.0","1.6","7.0","1.1","13579","588","52.1","2.5","43.4","2.3","8.7","1.6","47.9","2.5","36.8","2.5","11.1","1.9","23.2","(X)","22.7","(X)","23.1","(X)","49127","1347","50557","1425","28750","11299","27391","7996","38594","30375","2,500-","***","35964","10190","41033","2702","30850","5916","51251","1385","30572","2717","56662","4982","56632","3779","37764","2703","59350","2038","58140","3776","60144","2334","70078","2245","22900","4116","41211","5452","26411","1515","23344","1530","21559","1875","33102","2990","32085","3022","28544","3236","49840","12980","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53017","Douglas County, Washington","14348","263","81.0","1.4","0.3","0.2","1.2","0.6","0.6","0.4","0.2","0.2","14.2","1.3","2.5","0.8","20.6","0.9","75.7","1.0","2.7","0.7","32.2","1.2","37.9","1.3","27.2","1.2","10666","340","42.6","2.7","57.4","2.7","77.2","2.5","14.4","2.0","8.3","1.8","3682","300","49.3","4.1","44.3","4.2","5.1","2.1","50.7","4.1","36.0","4.5","14.7","4.2","22.2","(X)","22.7","(X)","20.1","(X)","53758","2599","58421","2987","-","**","65096","64915","-","**","-","**","38475","3201","38017","17741","41617","4980","59028","2950","36750","19271","53157","4537","63137","3391","44794","4898","59163","3373","51084","5548","65938","4105","67111","3044","26285","2758","41304","5318","31240","3976","23814","3671","21898","2620","56534","7341","40734","4369","39535","5056","47600","13493","(X)","(X)","(X)","(X)","(X)","(X)"
