"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US53001","Adams County, Washington","5738","105","69.6","3.8","0.0","0.6","0.7","0.7","0.8","0.5","0.0","0.6","26.7","3.7","2.3","1.1","49.3","1.6","49.3","1.7","4.6","1.6","41.7","2.3","33.2","2.1","20.6","1.4","4557","171","54.9","3.2","45.1","3.2","77.1","3.8","13.9","3.1","9.0","2.8","1181","153","51.3","8.2","45.6","8.6","5.8","4.1","48.7","8.2","40.9","8.4","7.8","4.6","29.9","(X)","28.6","(X)","26.6","(X)","43926","3701","46098","2644","-","**","6806","13892","42692","40412","-","**","35058","6402","54091","64469","35989","5104","51944","7943","24861","16896","45642","4041","54701","3869","29333","11291","48121","3410","43109","4513","55241","2478","53877","2561","23209","7186","43438","12810","24544","4067","17000","4866","17333","6479","2,500-","***","29715","5787","28443","4826","39500","12969","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53003","Asotin County, Washington","9058","206","95.9","0.7","0.5","0.4","0.4","0.3","0.6","0.3","0.2","0.3","0.5","0.3","2.0","0.6","1.9","0.6","94.7","0.9","3.8","1.2","25.9","1.6","39.9","1.9","30.4","1.4","5768","274","38.0","2.8","62.0","2.8","77.7","2.9","15.9","2.7","6.4","1.7","3290","258","58.1","4.7","50.1","5.1","8.0","2.5","41.9","4.7","37.1","4.4","4.9","2.2","23.6","(X)","24.5","(X)","21.2","(X)","43175","2382","43632","2447","5469","20309","20469","25584","81000","125946","-","**","29375","37475","42639","27330","32000","12298","43863","2464","16856","6232","48164","5727","51689","5768","34608","3365","55321","4158","49722","6781","58098","5526","63690","3383","23677","2408","35111","9815","24931","3638","22171","2662","21517","2341","30769","4928","30691","3664","30143","4763","45300","16087","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53005","Benton County, Washington","65675","545","86.5","0.7","1.2","0.2","1.1","0.3","2.2","0.2","0.1","0.1","7.1","0.6","1.8","0.3","12.4","0.7","81.8","0.8","4.4","0.5","34.1","0.7","40.6","0.7","20.9","0.5","45471","781","46.2","1.2","53.8","1.2","77.5","1.5","16.1","1.3","6.4","0.9","20204","770","49.9","2.2","43.3","2.3","6.6","1.2","50.1","2.2","40.4","2.3","9.7","1.6","19.7","(X)","20.1","(X)","18.0","(X)","60485","1412","63394","1563","56066","10969","46964","25389","84337","5306","54904","31762","37180","3771","59813","7673","39427","3168","64440","1831","30048","5112","61245","2707","80156","5180","43868","1944","72126","2358","61865","4428","78219","3341","87251","2148","27719","2624","51151","5628","36873","2070","26382","2947","24366","1334","51450","11124","47416","4356","43487","4438","60896","8558","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27220","624","93.3","1.1","0.1","0.1","0.7","0.3","0.5","0.2","0.0","0.1","3.8","1.0","1.6","0.7","17.4","1.0","80.5","1.1","3.2","0.8","29.9","1.3","39.6","1.5","27.2","0.9","18707","667","42.1","2.4","57.9","2.4","80.4","2.4","13.9","2.2","5.8","1.1","8513","552","54.1","3.9","46.5","3.6","7.5","2.3","45.9","3.9","36.0","4.2","10.0","2.6","37.9","(X)","38.8","(X)","34.3","(X)","51354","1540","51961","1493","23125","39038","43636","8187","38875","57614","-","**","43033","8918","44650","19415","43391","3470","53773","1384","42708","13155","52123","2620","60419","3964","40038","2771","61230","2924","53173","3583","67004","2674","68269","2904","30503","4282","50089","6753","29627","4101","23229","2317","21093","2442","51265","4468","38819","3652","33182","6321","51490","13041","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","30814","501","91.6","0.8","0.5","0.2","4.0","0.4","1.1","0.3","0.0","0.1","0.3","0.2","2.6","0.5","2.8","0.5","89.2","0.8","2.6","0.5","22.3","0.8","39.1","1.0","36.0","0.8","18778","556","31.9","1.6","68.1","1.6","80.1","1.7","14.4","1.4","5.5","1.0","12036","549","52.5","2.6","44.3","2.5","8.2","1.6","47.5","2.6","36.8","2.3","10.7","1.9","23.8","(X)","24.7","(X)","21.3","(X)","46033","1498","47230","1521","16635","52667","24688","10812","38182","9789","-","**","27800","19929","38438","9022","29427","7675","47694","1533","31554","4082","44507","3313","52901","2409","42426","2404","59169","2275","52448","3683","61148","1466","65375","1597","29957","3301","39338","5084","27578","1925","25859","2840","22779","1989","48241","6622","29158","2564","26138","1918","44242","5857","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","158855","904","89.3","0.4","1.7","0.2","0.6","0.1","3.7","0.2","0.5","0.1","1.9","0.2","2.3","0.2","5.4","0.3","86.1","0.3","3.4","0.3","35.6","0.5","40.4","0.4","20.6","0.3","110058","1239","47.7","0.7","52.3","0.7","77.3","0.9","16.0","0.8","6.7","0.5","48797","1233","52.6","1.4","43.9","1.3","8.7","0.8","47.4","1.4","34.9","1.5","12.5","1.2","21.2","(X)","21.3","(X)","19.5","(X)","58225","1157","59366","1051","40019","4965","44167","9735","65414","6192","54000","13768","37143","7890","52833","8023","41942","2675","59928","1123","30929","2333","60386","2171","70616","1967","42177","1074","68276","1568","64319","1758","71258","1841","78670","1373","33467","1654","48277","3185","37184","1080","30454","1482","27020","1475","55028","5073","45406","1867","40231","1903","62189","7078","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53013","Columbia County, Washington","1651","112","95.0","1.6","0.0","1.9","2.4","1.2","0.3","0.3","0.0","1.9","1.4","1.1","0.9","0.9","3.5","1.2","93.0","1.6","2.5","1.9","22.1","2.8","40.5","3.0","34.8","2.8","1106","98","29.9","4.0","70.1","4.0","79.0","5.0","16.8","4.5","4.2","2.2","545","102","53.9","9.4","41.1","8.6","12.8","7.4","46.1","9.4","36.3","8.7","9.7","5.8","28.3","(X)","23.5","(X)","35.6","(X)","42519","4930","42746","4488","-","**","75694","43853","-","**","-","**","16771","68773","17083","13855","16875","1813","43197","4122","16912","12160","47734","14210","49750","12290","34010","6696","50956","5630","50375","13706","55089","16625","61570","6775","16447","2951","31000","22771","22112","8726","18088","5437","15909","3588","63611","62665","29188","10400","29250","12379","17454","42336","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","39602","522","93.2","0.7","0.5","0.2","1.1","0.3","1.0","0.2","0.1","0.1","1.1","0.4","3.2","0.5","4.3","0.4","90.5","0.6","4.2","0.7","29.0","0.9","40.0","0.9","26.7","0.7","26726","612","39.6","1.5","60.4","1.5","75.7","1.6","17.1","1.4","7.2","1.0","12876","623","54.3","2.6","45.8","2.5","8.4","1.6","45.7","2.6","33.5","2.3","12.2","2.0","19.9","(X)","19.5","(X)","19.2","(X)","47596","1276","48660","1174","33458","20267","31354","19193","36591","7076","18750","25746","27578","16465","27331","21420","27625","6157","49001","1162","20394","2605","51513","3787","57125","4386","37721","1574","56810","2103","50753","3314","60698","2008","67264","1929","22964","2997","40885","9439","25985","1458","22597","1776","21388","1690","30910","4747","31436","3827","27964","3215","57016","11396","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53017","Douglas County, Washington","13976","261","81.4","1.7","0.1","0.1","0.9","0.4","0.4","0.2","0.0","0.1","14.3","1.6","2.8","0.8","19.9","1.4","76.8","1.3","4.4","1.1","32.5","1.4","38.4","1.4","24.7","1.0","10459","382","42.9","2.0","57.1","2.0","79.7","2.4","12.8","2.2","7.5","1.8","3517","331","51.1","4.4","43.6","4.3","7.5","3.4","48.9","4.4","32.6","4.4","16.3","4.0","19.5","(X)","18.0","(X)","20.2","(X)","51908","2287","56939","1960","-","**","32356","34675","68750","97429","-","**","35703","3320","54358","18626","36673","2406","57947","2171","26273","6408","51060","3094","61522","3450","42161","2191","55665","2737","49311","2694","61378","2256","63119","2285","27231","2182","37083","4574","33710","2265","26994","4829","23788","5214","54318","21388","39052","5222","35769","2990","58628","14527","(X)","(X)","(X)","(X)","(X)","(X)"
