"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Total!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US53005","Benton County, Washington","70434","1240","86.5","1.7","N","N","N","N","N","N","N","N","N","N","N","N","15.7","1.3","77.7","1.5","4.8","1.2","34.7","1.9","35.8","1.9","24.6","1.5","46835","2181","46.1","2.8","53.9","2.8","77.9","3.2","17.4","2.8","4.8","1.4","23599","2164","51.9","5.0","44.5","4.7","7.4","2.8","48.1","5.0","36.2","5.7","12.0","3.5","27.8","(X)","26.4","(X)","28.0","(X)","62508","4039","64653","4438","57952","44848","N","N","N","N","-","**","45609","22926","57768","34735","37767","13177","67860","4502","24439","5830","67430","7440","83758","10363","47072","5485","77778","5650","74663","7824","81681","8676","93447","5837","36305","8172","60694","14243","35372","5489","30116","7245","24477","4458","57328","24253","48216","9423","37295","12754","66698","11762","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","28353","1519","94.3","2.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","79.5","3.1","2.7","1.7","29.5","4.3","35.2","3.5","32.6","2.8","18614","1849","N","N","N","N","N","N","N","N","N","N","9739","1454","52.8","8.1","46.4","7.9","6.4","4.2","47.2","8.1","40.7","8.1","6.5","3.8","46.2","(X)","44.1","(X)","46.7","(X)","52080","8980","51532","8866","-","**","-","**","46439","793","-","**","N","N","N","N","41522","8750","56383","6955","28626","22220","53041","18058","68332","6860","39077","7788","66159","5343","63926","17954","66851","4927","71764","10643","37707","14877","65413","36585","30131","8684","21958","6589","21408","4962","44708","18680","34135","6755","31923","9674","60121","36476","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","31837","1051","92.7","1.2","N","N","2.7","0.7","N","N","N","N","N","N","N","N","N","N","90.9","1.5","3.2","1.3","19.5","1.9","35.7","2.4","41.6","2.4","19061","1455","N","N","N","N","N","N","N","N","N","N","12776","1374","50.1","5.0","42.0","5.5","8.1","4.1","49.9","5.0","40.4","5.1","9.5","4.4","38.8","(X)","37.0","(X)","40.4","(X)","48587","5198","50315","5349","30448","10240","32835","6790","59617","14020","-","**","38567","7007","46636","13537","26398","12447","51050","4103","24968","21926","53078","11234","55454","7765","43494","5468","62582","6983","47228","13498","67562","7213","68324","7328","38107","14097","31883","22932","29349","3201","24888","5143","21989","3813","44554","11589","34555","9175","31579","7160","63009","19684","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","169997","1585","88.4","0.9","N","N","N","N","3.8","0.4","N","N","N","N","2.7","0.5","5.9","0.6","85.0","0.9","3.1","0.6","32.8","0.9","40.1","0.9","23.9","0.8","119525","3033","42.4","1.8","57.6","1.8","80.1","1.7","13.1","1.6","6.9","1.3","50472","2892","51.5","3.2","42.2","3.1","9.3","1.8","48.5","3.2","34.0","3.4","14.5","3.1","26.5","(X)","26.3","(X)","24.6","(X)","69062","2069","70571","2611","54398","14479","26984","22768","79042","8867","48694","15526","42207","17420","54034","17112","50254","11231","71642","2721","63260","11669","68839","3499","84411","4514","52469","4093","79389","2786","78072","5251","80564","4377","88372","2979","41947","3510","57428","10504","43844","3277","36689","2607","32490","3467","60276","8008","52495","4676","43773","4886","74782","10507","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","40170","934","92.9","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","88.6","1.9","3.0","1.2","24.7","2.1","41.9","2.0","30.5","1.8","27101","1671","N","N","N","N","N","N","N","N","N","N","13069","1644","47.0","5.4","39.3","4.8","7.8","3.7","53.0","5.4","42.9","5.8","10.0","3.7","29.0","(X)","28.8","(X)","27.3","(X)","50637","4377","51741","4294","-","**","N","N","95971","86905","-","**","28781","12940","41959","11007","38374","18531","52427","3987","31175","4307","61718","13914","60612","6472","38564","8965","64239","6083","65310","12895","63728","7498","75124","4483","27667","12063","38888","14065","25530","2834","22664","3454","21404","4917","33924","18046","32832","13057","24878","8773","61707","9953","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53021","Franklin County, Washington","25903","740","67.1","4.5","N","N","N","N","N","N","N","N","26.4","4.5","N","N","45.9","2.8","49.9","2.7","2.8","1.7","42.2","2.7","38.7","3.0","16.3","2.5","19461","1309","N","N","N","N","N","N","N","N","N","N","6442","1200","40.2","9.6","37.1","9.5","3.1","2.5","59.8","9.6","52.0","10.5","7.8","5.2","36.3","(X)","34.1","(X)","42.7","(X)","57670","5643","61959","5621","40714","7674","17445","13109","63105","13526","-","**","50555","14451","58849","41693","48496","10408","67185","6724","32985","15482","60565","12889","60877","5423","42908","11317","65097","5759","61588","12464","68080","11437","77141","10401","25873","10897","14360","9841","30518","9608","25847","12630","23460","13930","36705","22205","38417","15187","31484","16503","72110","24368","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53025","Grant County, Washington","28351","1435","76.9","2.9","N","N","N","N","N","N","N","N","20.3","2.7","N","N","27.8","2.5","70.7","2.5","2.8","2.1","32.0","3.0","36.4","3.1","28.8","2.8","20588","1517","N","N","N","N","N","N","N","N","N","N","7763","1043","52.0","8.5","47.6","8.5","4.4","3.6","48.0","8.5","36.5","8.2","11.5","6.1","40.7","(X)","39.7","(X)","37.4","(X)","48335","3255","50217","3663","45033","35966","N","N","-","**","-","**","44770","13210","48189","41665","45351","10180","50697","3239","28345","17869","50085","6304","53916","11433","40585","6673","51462","2967","45469","3464","68002","11138","61641","10694","32322","15301","48162","17663","25486","3748","17160","4082","15957","6923","33387","78296","33798","8895","30724","10074","45279","25457","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53027","Grays Harbor County, Washington","27330","1573","92.3","2.1","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.5","2.2","3.0","1.9","24.4","2.9","40.0","3.3","32.6","3.0","17626","1813","N","N","N","N","N","N","N","N","N","N","9704","1355","51.5","6.7","41.0","8.0","10.5","5.2","48.5","6.7","35.1","7.0","13.4","5.4","46.0","(X)","45.4","(X)","43.7","(X)","49623","3998","50068","4147","N","N","44066","18359","N","N","-","**","N","N","51163","34323","40320","15966","51116","4273","25467","11381","63317","15899","53647","9611","39368","3112","56308","7769","51894","13578","57267","7576","63960","8835","26763","28774","55953","30678","29510","6289","21476","7346","14875","8333","61688","29892","36157","10503","29367","5130","71157","50177","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53029","Island County, Washington","33365","1431","88.1","2.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","83.2","2.3","3.5","1.4","27.3","2.0","36.7","2.1","32.5","2.0","23734","1448","N","N","N","N","N","N","N","N","N","N","9631","1101","54.2","5.6","45.7","6.4","8.5","4.2","45.8","5.6","33.8","6.1","12.1","4.4","32.9","(X)","31.9","(X)","33.0","(X)","64813","3464","64806","4462","64725","51778","87560","75170","63900","8644","N","N","53188","51236","69055","19684","46099","15852","66096","4059","45761","9627","58704","14743","80428","6122","56814","8182","69549","5578","62178","6825","75329","4686","74777","4587","24238","10468","54222","42614","39938","9844","34659","6689","33285","5040","73922","19782","49283","9190","41123","16285","90758","35794","(X)","(X)","(X)","(X)","(X)","(X)"
