"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US53001","Adams County, Washington","5802","116","71.6","3.1","0.4","0.6","0.3","0.4","1.0","0.7","0.0","0.6","23.6","3.3","3.0","1.5","51.2","1.7","46.8","1.7","4.0","1.4","41.1","2.3","34.6","2.0","20.4","1.5","4557","168","55.5","3.9","44.5","3.9","74.0","4.5","16.9","3.4","9.1","2.8","1245","172","45.9","7.2","40.5","7.0","5.5","3.4","54.1","7.2","44.7","6.0","9.3","4.9","35.4","(X)","33.8","(X)","33.1","(X)","46564","3684","52046","3482","-","**","(X)","(X)","(X)","(X)","-","**","32582","2681","62287","49287","40060","6030","53780","6279","19899","11535","48211","5576","59460","6288","35637","6069","49723","4197","43983","7073","58154","7976","57078","4462","29167","8535","38971","14721","28087","5049","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53003","Asotin County, Washington","9341","159","96.6","0.7","0.2","0.3","0.2","0.2","0.5","0.2","0.1","0.2","0.3","0.3","1.9","0.6","2.0","0.8","95.1","1.1","3.9","1.1","23.6","1.5","40.5","1.5","32.1","1.3","6035","286","37.6","2.6","62.4","2.6","76.1","3.6","17.1","3.1","6.8","1.9","3306","272","59.6","5.1","50.3","4.8","9.3","2.9","40.4","5.1","34.8","4.7","5.6","2.7","26.6","(X)","27.9","(X)","23.2","(X)","44394","3105","44467","3156","(X)","(X)","(X)","(X)","101583","9683","-","**","(X)","(X)","(X)","(X)","31250","15686","44641","3422","19717","14236","50528","4743","53333","5370","36147","2759","55008","4502","48178","4203","60712","4436","65154","4770","31429","8099","43025","8394","24206","2436","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53005","Benton County, Washington","67430","684","85.5","0.8","1.1","0.2","1.0","0.2","2.3","0.3","0.1","0.1","7.4","0.6","2.7","0.5","13.4","0.5","80.2","0.6","4.5","0.5","33.8","0.7","39.4","0.7","22.3","0.4","46740","843","45.2","1.3","54.8","1.3","77.3","1.4","16.0","1.2","6.7","0.8","20690","851","51.5","2.4","45.3","2.4","6.1","1.2","48.5","2.4","39.2","2.4","9.4","1.6","23.1","(X)","23.3","(X)","21.3","(X)","60251","1370","62873","1591","48844","13226","45066","19451","70875","17882","49500","15895","38364","1720","54020","22387","39209","2655","64416","1785","28485","4046","59452","2200","82232","3533","45419","1985","70592","2419","59843","2582","80169","3496","84893","2330","28309","4020","48542","8892","37266","1990","28196","1802","26128","2071","49138","7821","48636","4172","43475","4727","62409","9045","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27052","601","94.6","1.0","0.2","0.2","0.8","0.4","0.6","0.2","0.0","0.1","2.7","0.7","1.1","0.4","17.3","1.1","80.6","1.2","3.0","0.8","29.0","1.3","39.1","1.3","28.8","1.1","18268","578","41.1","2.4","58.9","2.4","78.5","2.4","14.7","2.1","6.9","1.4","8784","540","55.4","4.2","48.0","3.7","7.4","2.0","44.6","4.2","35.3","3.6","9.3","2.9","42.4","(X)","42.7","(X)","40.4","(X)","51837","1886","52185","1970","40357","39176","48194","9908","(X)","(X)","-","**","50707","14573","36641","11454","41889","2688","54780","2128","35135","15115","56065","2422","58598","3397","40367","3668","61464","2144","57161","3777","65128","3452","69053","3010","31163","4942","44054","8840","30239","3183","22858","3110","21082","2391","50117","16133","40101","4123","32237","5650","57883","8894","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","31321","403","91.6","0.6","0.6","0.2","3.9","0.4","1.1","0.3","0.1","0.1","0.4","0.3","2.3","0.4","3.6","0.5","88.5","0.6","3.2","0.6","21.5","0.8","36.9","0.9","38.4","1.0","18515","560","31.1","1.6","68.9","1.6","79.8","1.9","14.3","1.6","5.9","1.0","12806","567","53.5","2.3","44.9","2.5","8.6","1.6","46.5","2.3","35.3","2.1","11.3","1.9","28.6","(X)","28.7","(X)","27.5","(X)","47253","1606","48246","1558","(X)","(X)","31926","5891","38482","17072","48500","21073","29607","2843","42031","11859","38636","5240","48632","1491","33005","8842","48106","3915","54401","2779","42268","2244","60461","2808","52989","5769","63569","3148","68865","2892","29465","3331","39534","4387","28753","2128","24644","1768","21736","2622","46176","5387","33878","2848","29021","2541","52219","7624","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","162441","900","88.7","0.3","1.7","0.2","0.6","0.1","3.9","0.2","0.6","0.1","2.3","0.2","2.4","0.2","5.9","0.2","85.4","0.4","3.3","0.3","34.0","0.4","40.4","0.4","22.3","0.3","113110","1101","46.0","0.7","54.0","0.7","76.5","0.9","16.2","0.7","7.3","0.6","49331","998","53.0","1.4","43.5","1.4","9.5","0.8","47.0","1.4","34.8","1.4","12.2","1.0","24.3","(X)","24.3","(X)","22.5","(X)","60756","842","61954","833","42788","6571","50500","10080","70577","6904","51466","16454","39786","6418","55363","5537","41362","3660","62593","1055","33578","3810","62775","1987","72777","1784","44483","1163","70859","1051","67801","2138","73124","1918","81527","909","36214","1583","50144","2914","38046","1042","31506","1238","27143","1056","56891","5721","46013","1577","40411","1720","65746","5484","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53013","Columbia County, Washington","1686","103","96.1","1.9","0.2","0.4","0.7","0.6","0.3","0.5","0.0","1.9","0.8","0.7","1.8","1.5","2.2","1.2","94.8","2.3","4.4","3.1","19.9","3.0","37.2","3.2","38.5","3.3","1082","96","32.0","4.9","68.0","4.9","79.6","5.6","17.1","5.1","3.3","2.0","604","117","54.5","7.9","45.5","8.2","8.9","6.4","45.5","7.9","30.6","8.6","14.9","9.5","25.4","(X)","24.9","(X)","21.4","(X)","38581","4984","39696","5520","-","**","26667","16188","-","**","-","**","(X)","(X)","17083","8276","(X)","(X)","39865","5388","35625","20398","47813","16684","41042","8335","38750","6385","50205","4420","42500","17565","51563","14799","(X)","(X)","(X)","(X)","(X)","(X)","27708","8441","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","39763","489","93.2","0.7","0.5","0.2","1.0","0.3","0.9","0.3","0.1","0.1","1.2","0.4","3.1","0.5","4.7","0.5","90.1","0.7","3.5","0.5","27.5","0.9","40.5","0.9","28.4","0.7","26082","544","39.6","1.5","60.4","1.5","76.0","1.6","17.4","1.5","6.6","1.1","13681","632","53.3","2.0","44.9","2.4","8.4","1.7","46.7","2.0","35.8","2.2","10.9","1.8","21.0","(X)","19.9","(X)","21.8","(X)","47452","1861","48750","1623","31250","10029","30784","4592","40417","16204","2,500-","***","35800","10107","39615","11581","31954","7130","49392","1664","27708","5569","52893","4226","55160","2877","37613","1876","57938","2168","54188","3958","59780","2327","67858","2823","23571","3503","41010","7417","26171","1440","22898","1537","21258","1752","32831","3308","30765","2410","28802","2912","41417","16157","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53017","Douglas County, Washington","14212","259","81.8","1.5","0.2","0.2","1.5","0.5","0.5","0.4","0.1","0.1","13.8","1.4","2.0","0.6","20.1","1.2","76.4","1.2","2.9","0.9","32.2","1.4","37.9","1.2","26.9","1.2","10878","354","41.8","2.1","58.2","2.1","77.7","2.4","13.5","1.8","8.7","1.6","3334","328","53.4","4.4","47.8","4.6","5.6","2.5","46.6","4.4","34.0","4.5","12.5","3.5","19.9","(X)","18.8","(X)","20.7","(X)","53636","2812","57899","3939","(X)","(X)","66806","60241","(X)","(X)","-","**","37702","3420","54306","22504","39799","4126","58844","3588","26292","4976","53033","3903","64529","3696","44049","3938","57069","4302","49703","5129","64293","3307","64749","3179","26603","2428","40377","7180","32698","3918","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
