"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children of householder under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US53005","Benton County, Washington","69084","1503","83.5","1.6","N","N","N","N","N","N","N","N","N","N","N","N","15","1.5","76.4","1.5","4.4","1.2","34.5","1.7","38.1","1.6","23","1.4","49184","2292","48.3","2.7","51.7","2.7","77.8","3.2","15.1","2.7","7.1","2","19900","2469","55.9","5.2","46.9","5","9","3.1","44.1","5.2","31.2","4.8","12.9","4.2","26.4","(X)","25.1","(X)","29.2","(X)","62484","3256","66038","4868","N","N","N","N","63455","17115","-","**","36358","11599","N","N","38621","3926","68856","4137","22216","7613","61753","5374","82915","5790","47324","5394","71534","5283","62675","6186","79597","5907","83337","3979","31255","8320","39297","13103","39360","5908","33129","6711","29369","6262","62747","24976","50502","9336","41694","10968","71392","22375","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27068","1580","94.2","2.8","N","N","N","N","N","N","N","N","N","N","N","N","N","N","80.7","2.5","2.1","1.5","27.9","3.5","38.4","3.7","31.5","2.7","18130","1723","N","N","N","N","N","N","N","N","N","N","8938","1431","56.8","7.9","51.3","8.5","5.5","3.6","43.2","7.9","33.7","6.8","9.5","6.3","47.6","(X)","45","(X)","49.1","(X)","56890","5321","56161","5904","-","**","-","**","-","**","-","**","58707","8868","N","N","41682","26411","58703","5110","53672","9557","59750","3323","67808","13943","41462","7434","63942","10999","63536","10244","68112","15824","75918","11710","32011","7705","47908","27695","32014","7247","27239","9542","26477","10918","56034","90528","45301","14738","31981","13879","54886","61764","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","32231","1091","90.7","1","N","N","4.2","1.2","N","N","N","N","N","N","N","N","N","N","86","1.7","2.7","1.6","20.1","2.4","35.2","2.6","42","2.2","17984","1474","N","N","N","N","N","N","N","N","N","N","14247","1733","53.1","5.2","46.3","5.5","6.9","2.9","46.9","5.2","35.9","5","11","3.8","36","(X)","38.1","(X)","33.2","(X)","44929","4018","45710","3749","-","**","31974","9286","N","N","-","**","-","**","41461","10229","46265","34108","45454","4371","47050","20793","52722","7185","48210","8300","35324","5781","58428","6388","49597","14223","60546","5252","67261","6747","32226","8462","29142","10450","24903","3424","21575","5396","17389","3266","52408","24796","27613","5492","25149","7007","63926","14293","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","166335","1747","88.2","1","N","N","N","N","4.2","0.5","N","N","N","N","2.9","0.7","6.3","0.6","84","0.9","3.4","0.7","33.3","1.1","39.7","1.1","23.5","0.7","115116","2720","44.6","1.7","55.4","1.7","75.7","1.9","15.8","1.6","8.4","1.3","51219","2905","53.1","3.1","42.6","3.2","10.6","2.2","46.9","3.1","35.7","3","11.1","2","27","(X)","26.9","(X)","25.7","(X)","64275","2931","65993","1936","40861","12878","78261","42520","65463","7605","N","N","46250","22618","49440","6280","42489","9396","66778","1958","42234","10680","68227","5242","73193","4429","47058","3610","73429","2277","70943","2825","76268","2862","86076","3161","36025","4960","50685","3506","40733","1454","34225","3873","26601","3290","57672","13834","49247","3285","44375","6919","73848","16691","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","40187","1126","92.5","1.6","N","N","N","N","N","N","N","N","N","N","N","N","N","N","89.2","1.7","5.1","1.7","26.6","2.5","41.1","2.2","27.2","2","26804","1576","N","N","N","N","N","N","N","N","N","N","13383","1570","48","6","36.2","6.2","11.8","3.9","52","6","38.5","6.3","13.5","4.7","25.5","(X)","24.4","(X)","27.6","(X)","49949","3647","51716","5226","51667","25423","30522","14244","N","N","-","**","40281","31365","48269","21860","28533","12143","52858","5513","39643","9126","59204","9788","57484","9645","36314","4704","60345","5420","58054","9807","61841","5565","71550","6775","16871","6395","36417","12713","29389","2546","24893","5812","20799","3255","34585","29971","35755","4600","29627","8485","41875","40044","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53021","Franklin County, Washington","25339","774","85.8","3.6","N","N","N","N","N","N","N","N","N","N","N","N","42.1","2.9","54.1","2.6","5.8","2.4","46.1","3.9","36.1","3.7","12.1","1.7","20125","1372","N","N","N","N","N","N","N","N","N","N","5214","1154","45.5","11.7","39.4","11.6","6.1","6.8","54.5","11.7","36.3","12","18.2","8.2","43.3","(X)","39.6","(X)","43.7","(X)","59664","3278","61466","6395","N","N","-","**","49444","16310","-","**","45516","11137","41132","20806","45600","8474","76636","3567","30280","15650","70700","16947","60216","16503","49900","13180","60517","6908","55483","7653","76182","10063","72472","5834","30961","12495","49274","23939","39074","10853","32481","11196","31242","3850","-","**","47094","26985","37288","33414","78427","56003","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53025","Grant County, Washington","30915","1091","80.3","2.9","N","N","N","N","N","N","N","N","N","N","N","N","27.1","2.6","69.1","2.7","5.5","2","34.3","2.6","37.7","2.8","22.5","2.3","22748","1451","N","N","N","N","N","N","N","N","N","N","8167","1245","45.6","8.5","36.2","7.9","9.4","5.3","54.4","8.5","34.2","7.9","20.1","7.4","41.6","(X)","41.5","(X)","37.9","(X)","51667","3855","52183","5286","-","**","N","N","N","N","-","**","49732","9873","115595","76489","49150","6179","54874","6893","35350","11163","51151","6295","64664","8150","39063","7300","56824","5757","46654","6324","65175","9251","67922","5554","27421","3193","46818","22645","30756","2970","25456","4292","19394","5694","61676","66809","40376","12240","33610","13360","42400","36111","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53027","Grays Harbor County, Washington","27430","1413","91","2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87.8","2.3","2.4","1.3","24.2","2.8","39.3","2.9","34.1","2.2","16854","1334","N","N","N","N","N","N","N","N","N","N","10576","1120","48.8","6.6","35.7","6","13.2","6","51.2","6.6","43.7","6.7","7.5","3.6","32","(X)","35.4","(X)","25.8","(X)","44122","5518","42876","4670","-","**","38145","16067","85206","44212","-","**","-","**","65549","27635","40175","22062","44852","5370","23341","6201","46327","10852","56116","11292","38984","4488","60245","7979","48660","10822","67015","8507","67356","9398","34588","8424","39358","21955","25020","3117","27331","3362","25268","2121","33715","8236","20260","5751","18837","4500","42173","16756","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53029","Island County, Washington","32939","1273","90.7","2.2","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.9","3.1","5","1.6","23.7","2.9","36.9","2.4","34.4","2.6","20923","1395","N","N","N","N","N","N","N","N","N","N","12016","1270","53.1","6","44.4","6.1","8.7","3.2","46.9","6","38.2","5.8","8.7","4.3","34.4","(X)","35.2","(X)","32.9","(X)","60532","4366","58989","5155","70330","10167","84134","73918","107574","75590","N","N","N","N","91140","37417","28251","11653","60525","5209","30069","11005","61589","13138","74788","10619","51909","9067","71991","5289","64500","10353","78635","11980","80030","9718","41581","4376","55368","31580","36406","9910","30837","6416","28258","5018","61423","27152","42567","12299","32194","15266","67318","9238","(X)","(X)","(X)","(X)","(X)","(X)"
