"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C01_002E","S1903_C01_002M","S1903_C01_003E","S1903_C01_003M","S1903_C01_004E","S1903_C01_004M","S1903_C01_005E","S1903_C01_005M","S1903_C01_006E","S1903_C01_006M","S1903_C01_007E","S1903_C01_007M","S1903_C01_008E","S1903_C01_008M","S1903_C01_009E","S1903_C01_009M","S1903_C01_010E","S1903_C01_010M","S1903_C01_011E","S1903_C01_011M","S1903_C01_012E","S1903_C01_012M","S1903_C01_013E","S1903_C01_013M","S1903_C01_014E","S1903_C01_014M","S1903_C01_015E","S1903_C01_015M","S1903_C01_016E","S1903_C01_016M","S1903_C01_017E","S1903_C01_017M","S1903_C01_018E","S1903_C01_018M","S1903_C01_019E","S1903_C01_019M","S1903_C01_020E","S1903_C01_020M","S1903_C01_021E","S1903_C01_021M","S1903_C01_022E","S1903_C01_022M","S1903_C01_023E","S1903_C01_023M","S1903_C01_024E","S1903_C01_024M","S1903_C01_025E","S1903_C01_025M","S1903_C01_026E","S1903_C01_026M","S1903_C01_027E","S1903_C01_027M","S1903_C01_028E","S1903_C01_028M","S1903_C01_029E","S1903_C01_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_001E","S1903_C02_001M","S1903_C02_002E","S1903_C02_002M","S1903_C02_003E","S1903_C02_003M","S1903_C02_004E","S1903_C02_004M","S1903_C02_005E","S1903_C02_005M","S1903_C02_006E","S1903_C02_006M","S1903_C02_007E","S1903_C02_007M","S1903_C02_008E","S1903_C02_008M","S1903_C02_009E","S1903_C02_009M","S1903_C02_010E","S1903_C02_010M","S1903_C02_011E","S1903_C02_011M","S1903_C02_012E","S1903_C02_012M","S1903_C02_013E","S1903_C02_013M","S1903_C02_014E","S1903_C02_014M","S1903_C02_015E","S1903_C02_015M","S1903_C02_016E","S1903_C02_016M","S1903_C02_017E","S1903_C02_017M","S1903_C02_018E","S1903_C02_018M","S1903_C02_019E","S1903_C02_019M","S1903_C02_020E","S1903_C02_020M","S1903_C02_021E","S1903_C02_021M","S1903_C02_022E","S1903_C02_022M","S1903_C02_023E","S1903_C02_023M","S1903_C02_024E","S1903_C02_024M","S1903_C02_025E","S1903_C02_025M","S1903_C02_026E","S1903_C02_026M","S1903_C02_027E","S1903_C02_027M","S1903_C02_028E","S1903_C02_028M","S1903_C02_029E","S1903_C02_029M","S1903_C02_030E","S1903_C02_030M"
"id","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Total!!Estimate!!Households!!One race!!White","Total!!Margin of Error!!Households!!One race!!White","Total!!Estimate!!Households!!One race!!Black or African American","Total!!Margin of Error!!Households!!One race!!Black or African American","Total!!Estimate!!Households!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Total!!Estimate!!Households!!One race!!Asian","Total!!Margin of Error!!Households!!One race!!Asian","Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!Households!!One race!!Some other race","Total!!Margin of Error!!Households!!One race!!Some other race","Total!!Estimate!!Households!!Two or more races","Total!!Margin of Error!!Households!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households!!One race!!White","Median income (dollars)!!Margin of Error!!Households!!One race!!White","Median income (dollars)!!Estimate!!Households!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American","Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!Households!!One race!!Asian","Median income (dollars)!!Margin of Error!!Households!!One race!!Asian","Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!Households!!One race!!Some other race","Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race","Median income (dollars)!!Estimate!!Households!!Two or more races","Median income (dollars)!!Margin of Error!!Households!!Two or more races","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"0500000US53005","Benton County, Washington","67815","1374","86.0","1.4","N","N","N","N","N","N","N","N","N","N","N","N","13.0","1.2","80.7","1.3","4.4","1.4","35.0","1.8","38.2","1.8","22.4","1.5","47023","2120","43.2","2.7","56.8","2.7","76.5","3.1","17.8","2.7","5.7","1.6","20792","2015","51.3","5.1","46.1","4.7","5.3","2.1","48.7","5.1","40.3","4.9","8.4","3.2","21.0","(X)","20.9","(X)","18.9","(X)","58093","2708","60123","2649","36350","34507","24393","21438","177150","114035","-","**","36017","11093","32013","8554","36457","7810","61236","2979","26836","6159","56482","4107","80472","4794","46060","6499","65235","5077","55554","9139","76168","4860","81314","3757","28412","10847","45041","21622","35126","6068","28485","4874","26301","5132","56313","23581","48717","16389","37276","9816","72682","12697","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53007","Chelan County, Washington","27087","1432","96.5","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","80.3","3.4","3.1","2.4","29.0","4.3","39.6","3.5","28.4","2.5","17574","1707","N","N","N","N","N","N","N","N","N","N","9513","1536","52.7","7.4","38.7","8.0","14.0","7.4","47.3","7.4","42.8","7.7","4.5","3.4","43.5","(X)","42.2","(X)","45.7","(X)","50177","6746","50406","6242","-","**","-","**","N","N","-","**","N","N","N","N","42048","11372","51511","5808","38132","8569","50166","17216","59982","8102","42122","6163","62164","8860","61604","16457","62734","8629","67425","7856","31716","9620","40859","13850","30671","5295","28951","15581","19736","7942","50035","17404","31198","7529","30300","5675","58021","22247","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53009","Clallam County, Washington","31361","1218","93.3","1.0","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90.3","1.4","2.0","1.3","22.6","1.9","36.9","2.0","38.4","2.2","18789","1319","N","N","N","N","N","N","N","N","N","N","12572","1271","53.2","5.8","46.0","5.1","7.2","3.4","46.8","5.8","35.0","6.3","11.8","4.5","29.8","(X)","27.9","(X)","31.0","(X)","46469","4951","46998","5477","-","**","35655","13619","56619","26140","-","**","N","N","57554","33169","38036","5670","48433","5321","32808","13784","38529","12116","58776","8324","42239","7375","60383","6017","43840","17675","65248","5849","67734","8172","22075","11042","42619","18622","30593","4095","24533","2828","22955","3376","41058","17590","38018","6265","34431","5355","51336","25342","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53011","Clark County, Washington","165133","1519","88.3","1.1","N","N","N","N","3.5","0.4","N","N","3.0","0.7","2.7","0.5","6.3","0.5","85.0","0.9","3.3","0.6","34.0","0.9","39.9","1.0","22.8","0.7","114797","2617","44.3","1.7","55.7","1.7","77.3","2.0","15.0","1.5","7.8","1.4","50336","2513","52.8","2.9","43.1","3.0","9.7","2.0","47.2","2.9","35.9","3.1","11.3","2.3","23.7","(X)","23.3","(X)","22.2","(X)","61741","1371","63044","1830","43281","19294","41378","9971","69874","7639","N","N","43031","7768","54045","10250","43194","8054","63572","1849","33180","4893","63417","3781","73180","4680","45136","3019","71583","2060","68546","4107","75293","4193","82000","2451","39811","8095","52541","9129","37241","2820","32014","2745","28097","2660","64384","13367","44821","6377","37544","4576","66187","10158","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53015","Cowlitz County, Washington","40036","1178","93.3","1.4","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90.0","1.5","3.0","1.4","28.1","2.7","39.0","2.5","29.9","1.6","25284","1860","N","N","N","N","N","N","N","N","N","N","14752","1479","51.6","5.5","45.6","5.5","6.0","3.5","48.4","5.5","36.6","5.8","11.8","4.6","18.6","(X)","18.4","(X)","17.5","(X)","42223","2904","43611","3119","-","**","31967","22280","29094","27801","-","**","35330","11786","32257","16064","35523","9177","44503","3768","21412","7031","44322","8850","50240","6231","38341","3022","50464","4341","45219","11363","54010","4947","64363","5855","19196","8986","35256","23014","25435","2907","23524","2557","22944","3233","35975","9415","30948","4906","31664","8956","24201","15162","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53021","Franklin County, Washington","25542","581","78.0","3.9","N","N","N","N","N","N","N","N","N","N","N","N","41.3","2.8","53.7","2.7","3.0","1.8","44.3","2.9","37.4","3.7","15.3","2.1","19913","1070","N","N","N","N","N","N","N","N","N","N","5629","1038","45.4","10.9","37.2","10.8","8.3","7.0","54.6","10.9","48.0","11.2","6.5","5.2","39.1","(X)","38.9","(X)","36.5","(X)","57890","5679","58001","4945","N","N","-","**","89012","44966","-","**","48922","19944","96182","88801","48982","10016","64852","14743","45676","17218","57800","9302","68841","8905","36012","25942","60643","3860","54978","10375","69623","9857","71801","9763","40232","12544","37020","40015","29161","5719","30188","15560","19705","16421","34600","18542","29119","5772","27852","10801","75179","128336","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53025","Grant County, Washington","29758","1256","76.9","3.0","N","N","N","N","N","N","N","N","15.7","2.8","N","N","27.8","2.8","65.7","3.0","4.6","2.1","29.8","3.0","41.6","3.2","24.0","2.4","20849","1472","N","N","N","N","N","N","N","N","N","N","8909","1387","49.0","7.5","39.1","7.4","9.9","6.1","51.0","7.5","39.9","7.1","11.1","4.7","37.5","(X)","38.5","(X)","30.6","(X)","51949","3655","52352","4981","53604","32199","N","N","N","N","-","**","51305","16537","44652","13480","53321","6753","51964","5229","34927","12392","50802","10711","65613","11196","33937","4571","57749","5204","53367","5748","61656","7672","61768","8519","40154","20922","53038","3298","32145","6350","21074","12330","15026","4752","90846","16036","36615","3308","35660","3089","56310","21173","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53027","Grays Harbor County, Washington","27401","1291","90.7","1.5","N","N","N","N","N","N","N","N","N","N","N","N","N","N","87.1","1.8","2.9","1.5","24.9","2.6","41.0","3.0","31.3","2.5","17680","1410","N","N","N","N","N","N","N","N","N","N","9721","1383","53.2","6.5","41.1","6.2","12.1","5.8","46.8","6.5","35.9","6.1","10.9","5.2","36.5","(X)","40.8","(X)","27.6","(X)","43356","2589","43247","2656","-","**","33841","8353","57189","16503","-","**","-","**","46944","12484","32706","11244","43595","2573","24644","29061","45595","6797","46091","8567","38154","4431","49877","8615","43577","3287","56119","7201","61273","5319","32674","7041","44903","9950","23674","3106","23729","2901","17333","7696","56667","32573","23460","8597","22685","8451","30313","19626","(X)","(X)","(X)","(X)","(X)","(X)"
"0500000US53029","Island County, Washington","32464","1522","90.3","1.9","N","N","N","N","N","N","N","N","N","N","N","N","N","N","86.6","1.6","2.6","1.4","29.7","2.3","35.7","2.6","32.0","2.2","22395","1529","N","N","N","N","N","N","N","N","N","N","10069","1469","55.6","7.2","48.2","7.4","7.4","3.7","44.4","7.2","39.4","7.4","5.0","2.9","26.2","(X)","27.1","(X)","23.3","(X)","59934","4322","60334","3966","68374","27721","N","N","43375","18121","-","**","N","N","60112","29127","41250","25488","61695","5014","38784","6072","49274","8523","82671","7139","52358","7809","74926","5449","61115","11213","83917","9478","82781","10693","28793","9838","70975","31812","34601","3936","31442","5299","26840","6040","66321","54963","36359","2887","35134","4753","78700","40795","(X)","(X)","(X)","(X)","(X)","(X)"
